order,level_name,difficulty,type,card_count,ordinal,seed
1,1324973,Tutorial,Standard,13,0,0
2,1324641,Tutorial,Standard,10,0,0
4,1324671,Tutorial,Standard,13,0,0
5,1324672,Tutorial,Standard,14,0,0
6,1327800,Tutorial,Standard,14,0,0
7,1327834,Tutorial,Standard,14,0,0
8,1328201,Tutorial,Standard,14,0,0
10,1327835,Tutorial,Standard,8,0,0
12,1327837,Tutorial,Standard,6,0,0
22,1346022,Tutorial,Standard,13,0,0
26,1343958,Tutorial,Standard,10,0,0
36,1343916,Tutorial,Standard,6,0,0
41,1345319,Tutorial,Standard,6,0,0
45,1345659,Tutorial,Standard,12,0,0
60,1346949,Tutorial,Standard,14,0,0
80,1321277,Tutorial,Standard,15,0,0
101,1348546,Tutorial,Standard,11,0,0
120,1349923,Tutorial,Standard,7,0,0
140,1350705,Tutorial,Standard,20,0,0
160,1351172,Tutorial,Standard,21,0,0
190,1352702,Tutorial,Standard,15,0,0
220,1352342,Tutorial,Standard,11,0,0
260,1363305,Tutorial,Standard,14,0,0
301,1411659,Tutorial,Standard,9,0,0
351,1413402,Tutorial,Standard,6,0,0
401,1445215,Tutorial,Standard,11,0,0
476,1522350,Tutorial,Standard,14,0,0
576,1522950,Tutorial,Standard,9,0,0
701,1561142,Tutorial,Standard,6,0,0
851,1663822,Tutorial,Standard,8,0,0
1001,1679955,Tutorial,Standard,8,0,0
1065,1697935,Tutorial,Standard,29,0,0
1201,1513601,Tutorial,Standard,9,0,0
1401,1810401,Tutorial,Standard,11,0,0
1701,2012302,Tutorial,Standard,10,0,0
2501,2066125,Tutorial,Standard,3,0,0
