id,is_a2u_enabled,is_bot_enabled,a2u_alt_title,a2u_alt_body,a2u_alt_image_id,a2u_alt_payload,element_ids,parent_message_id,countries,languages
blockmaster:daily:en:t1,TRUE,TRUE,,Come back and play today!,,,,,,"[""en""]"
blockmaster:daily:en:t2,TRUE,TRUE,,Your blocks are waiting!,,,,,,"[""en""]"
blockmaster:daily:en:t3,TRUE,TRUE,,Ready for today's challenge?,,,,,,"[""en""]"
blockmaster:daily:en:t4,TRUE,TRUE,,Check your daily tier!,,,,,,"[""en""]"
blockmaster:daily:en:t5,TRUE,TRUE,,We missed you yesterday!,,,,,,"[""en""]"
blockmaster:daily:en:t6,TRUE,TRUE,,Time for some block fun!,,,,,,"[""en""]"
blockmaster:daily:en:t7,TRUE,TRUE,,Your daily rewards await!,,,,,,"[""en""]"
blockmaster:daily:en:t8,TRUE,TRUE,,Let's crush some blocks!,,,,,,"[""en""]"
blockmaster:daily:en:t9,TRUE,TRUE,,Today's puzzle is ready!,,,,,,"[""en""]"
blockmaster:daily:en:t10,TRUE,TRUE,,Don't miss today's bonus!,,,,,,"[""en""]"
blockmaster:daily:en:t11,TRUE,TRUE,,Your turn to shine!,,,,,,"[""en""]"
blockmaster:daily:en:t12,TRUE,TRUE,,"New blocks, new fun!",,,,,,"[""en""]"
blockmaster:daily:en:t13,TRUE,TRUE,,Daily challenge unlocked!,,,,,,"[""en""]"
blockmaster:daily:en:t14,TRUE,TRUE,,Come play with us!,,,,,,"[""en""]"
blockmaster:daily:en:t15,TRUE,TRUE,,Today's tier awaits you!,,,,,,"[""en""]"
blockmaster:daily:en:t16,TRUE,TRUE,,Block party starts now!,,,,,,"[""en""]"
blockmaster:daily:en:t17,TRUE,TRUE,,Your daily dose of fun!,,,,,,"[""en""]"
blockmaster:daily:en:t18,TRUE,TRUE,,Ready to tier up?,,,,,,"[""en""]"
blockmaster:daily:en:t19,TRUE,TRUE,,"New day, new blocks!",,,,,,"[""en""]"
blockmaster:daily:en:t20,TRUE,TRUE,,Let's make today epic!,,,,,,"[""en""]"
blockmaster:new-friend:en:t1,TRUE,TRUE,,Your friend just joined!,,,,,,"[""en""]"
blockmaster:new-friend:en:t2,TRUE,TRUE,,Time to play together!,,,,,,"[""en""]"
blockmaster:new-friend:en:t3,TRUE,TRUE,,Challenge your friend now!,,,,,,"[""en""]"
blockmaster:new-friend:en:t4,TRUE,TRUE,,Your buddy is here!,,,,,,"[""en""]"
blockmaster:new-friend:en:t5,TRUE,TRUE,,Double the fun awaits!,,,,,,"[""en""]"
blockmaster:new-friend:en:t6,TRUE,TRUE,,Friend mode unlocked!,,,,,,"[""en""]"
blockmaster:new-friend:en:t7,TRUE,TRUE,,Let's play as a team!,,,,,,"[""en""]"
blockmaster:new-friend:en:t8,TRUE,TRUE,,Your friend wants to play!,,,,,,"[""en""]"
blockmaster:new-friend:en:t9,TRUE,TRUE,,Friendship level activated!,,,,,,"[""en""]"
blockmaster:new-friend:en:t10,TRUE,TRUE,,"Two players, double fun!",,,,,,"[""en""]"
blockmaster:new-friend:en:t11,TRUE,TRUE,,Challenge accepted by friend!,,,,,,"[""en""]"
blockmaster:new-friend:en:t12,TRUE,TRUE,,Your gaming buddy arrived!,,,,,,"[""en""]"
blockmaster:new-friend:en:t13,TRUE,TRUE,,Friend vs friend mode on!,,,,,,"[""en""]"
blockmaster:new-friend:en:t14,TRUE,TRUE,,Play together right now!,,,,,,"[""en""]"
blockmaster:new-friend:en:t15,TRUE,TRUE,,Your friend is ready!,,,,,,"[""en""]"
blockmaster:new-friend:en:t16,TRUE,TRUE,,Duo challenge begins!,,,,,,"[""en""]"
blockmaster:new-friend:en:t17,TRUE,TRUE,,Friends play best together!,,,,,,"[""en""]"
blockmaster:new-friend:en:t18,TRUE,TRUE,,Your partner joined the game!,,,,,,"[""en""]"
