label,media_url,payload,notification_title_English,notification_body_English,notification_title_Arabic,notification_body_Arabic,notification_title_Spanish,notification_body_Spanish,notification_title_Portuguese,notification_body_Portuguese,notification_title_Indonesian,notification_body_Indonesian,notification_title_Russian,notification_body_Russian,notification_title_French,notification_body_French,notification_title_Thai,notification_body_Thai
260801,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260801""}",24h left to rank up. Don’t miss your promotion.,24h left to rank up. Don’t miss your promotion.,تبقى 24 ساعة للترقية. لا تفوت الفرصة.,تبقى 24 ساعة للترقية.,Quedan 24h para subir de rango. No lo pierdas.,Quedan 24h para subir de rango. No lo pierdas.,Faltam 24h para subir de liga. Nao perca.,Faltam 24h para subir de liga. Nao perca.,24 jam tersisa untuk naik peringkat. Jangan lewatkan.,24 jam tersisa untuk naik peringkat. Jangan lewatkan.,Осталось 24 ч. для повышения. Не упусти шанс.,Осталось 24 ч. для повышения. Не упусти шанс.,Plus que 24h pour monter. Ne rate pas ta chance.,Plus que 24h pour monter. Ne rate pas ta chance.,เหลือเวลา 24 ชม. อย่าพลาดการเลื่อนขั้น.,เหลือเวลา 24 ชม. อย่าพลาดการเลื่อนขั้น.
260808,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260808""}",League ends tomorrow. Make your last games count.,League ends tomorrow. Make your last games count.,تنتهي الدوري غدا. اجعل آخر مبارياتك مهمة.,الدوري ينتهي غدًا.,La liga termina manana. Aprovecha tus ultimas partidas.,La liga termina manana. Aprovecha tus ultimas partidas.,A liga termina amanha. Jogue com tudo.,A liga termina amanha. Jogue com tudo.,Liga berakhir besok. Menangkan sisa pertandinganmu.,Liga berakhir besok. Menangkan sisa pertandinganmu.,Лига заканчивается завтра. Победите в последних матчах.,Лига заканчивается завтра. Победите в последних матчах.,La ligue se termine demain. Joue bien jusqu'au bout.,La ligue se termine demain. Joue bien jusqu'au bout.,ลีกจบพรุ่งนี้. เล่นให้สุดครั้งสุดท้าย.,ลีกจบพรุ่งนี้. เล่นให้สุดครั้งสุดท้าย.
260815,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260815""}",Last chance to climb higher before reset.,Last chance to climb higher before reset.,الفرصة الاخيرة للتقدم قبل اعادة التعيين.,آخر فرصة للتقدم.,Ultima oportunidad para subir antes del reinicio.,Ultima oportunidad para subir antes del reinicio.,Ultima chance de subir antes do reset.,Ultima chance de subir antes do reset.,Kesempatan terakhir sebelum reset. Panjat sekarang.,Kesempatan terakhir sebelum reset. Panjat sekarang.,Последний шанс подняться выше до сброса.,Последний шанс подняться выше до сброса.,Derniere chance de grimper avant la reinitialisation.,Derniere chance de grimper avant la reinitialisation.,โอกาสสุดท้ายก่อนรีเซต. ไต่แรงค์เลย.,โอกาสสุดท้ายก่อนรีเซต. ไต่แรงค์เลย.
260822,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260822""}",24h left. Push hard and reach the next tier.,24h left. Push hard and reach the next tier.,تبقى 24 ساعة. ابذل جهدك للوصول للمرحلة التالية.,تبقى 24 ساعة - ابذل جهدك.,Faltan 24h. Da lo mejor y sube de nivel.,Faltan 24h. Da lo mejor y sube de nivel.,Faltam 24h. Lute para alcancar o proximo nivel.,Faltam 24h. Lute para alcancar o proximo nivel.,24 jam tersisa. Dorong dirimu ke tier berikutnya.,24 jam tersisa. Dorong dirimu ke tier berikutnya.,Осталось 24 ч. Брось все силы на продвижение.,Осталось 24 ч. Брось все силы на продвижение.,24h restantes. Vise le prochain palier.,24h restantes. Vise le prochain palier.,เหลือ 24 ชม. มุ่งสู่แรงค์ถัดไป.,เหลือ 24 ชม. มุ่งสู่แรงค์ถัดไป.
260829,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260829""}",Final day to promote. Give it all you got.,Final day to promote. Give it all you got.,اليوم الاخير للترقية. اعط كل ما لديك.,اليوم الأخير للترقية.,Ultimo dia para subir. Da lo todo.,Ultimo dia para subir. Da lo todo.,Ultimo dia para promocao. De tudo de si.,Ultimo dia para promocao. De tudo de si.,Hari terakhir naik liga. Beri semua yang kamu punya.,Hari terakhir naik liga. Beri semua yang kamu punya.,Последний день для продвижения. Выкладывайся на полную.,Последний день для продвижения. Выкладывайся на полную.,Dernier jour de promo. Donne tout ce que tu as.,Dernier jour de promo. Donne tout ce que tu as.,วันสุดท้ายแล้ว. เทหมดหน้าตัก.,วันสุดท้ายแล้ว. เทหมดหน้าตัก.
260905,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260905""}",Time is running out. Every match matters now.,Time is running out. Every match matters now.,الوقت ينفد. كل مباراة الآن مهمة.,الوقت ينفد بسرعة.,Se acaba el tiempo. Cada partida cuenta.,Se acaba el tiempo. Cada partida cuenta.,O tempo esta acabando. Cada partida importa.,O tempo esta acabando. Cada partida importa.,Waktunya hampir habis. Setiap pertandingan penting.,Waktunya hampir habis. Setiap pertandingan penting.,Время уходит. Каждая партия важна.,Время уходит. Каждая партия важна.,Le temps presse. Chaque partie compte.,Le temps presse. Chaque partie compte.,เวลาหมดแล้ว. ทุกตาคือโอกาส.,เวลาหมดแล้ว. ทุกตาคือโอกาส.
260912,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260912""}",24h left to win big and secure rewards.,24h left to win big and secure rewards.,24 ساعة متبقية للفوز الكبير وجمع الجوائز.,آخر 24 ساعة للفوز.,24h para ganar en grande y asegurar premios.,24h para ganar en grande y asegurar premios.,Faltam 24h para ganhar grande e garantir premios.,Faltam 24h para ganhar grande e garantir premios.,24 jam terakhir untuk menang besar dan dapat hadiah.,24 jam terakhir untuk menang besar dan dapat hadiah.,24 ч. на победу и награды. Вперед.,24 ч. на победу и награды. Вперед.,24h pour tout gagner et securiser tes recompenses.,24h pour tout gagner et securiser tes recompenses.,เหลือ 24 ชม. รีบคว้ารางวัลใหญ่.,เหลือ 24 ชม. รีบคว้ารางวัลใหญ่.
260919,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260919""}",League finale begins. Play strong till the end.,League finale begins. Play strong till the end.,بداية نهائيات الدوري. العب بقوة حتى النهاية.,بداية نهائي الدوري.,Final de liga empieza. Juega fuerte hasta el final.,Final de liga empieza. Juega fuerte hasta el final.,Final da liga comecou. Jogue ate o fim.,Final da liga comecou. Jogue ate o fim.,Akhir liga dimulai. Bertarunglah hingga akhir.,Akhir liga dimulai. Bertarunglah hingga akhir.,Финал лиги начался. Играйте до конца.,Финал лиги начался. Играйте до конца.,Finale de la ligue lancee. Joue fort jusqu'au bout.,Finale de la ligue lancee. Joue fort jusqu'au bout.,รอบชิงเริ่มแล้ว. เล่นให้สุด.,รอบชิงเริ่มแล้ว. เล่นให้สุด.
260926,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""260926""}",The promotion deadline is near. One last push.,The promotion deadline is near. One last push.,موعد الترقية يقترب. دفعة اخيرة.,موعد الترقية يقترب.,Se acerca la fecha limite. Ultimo empujon.,Se acerca la fecha limite. Ultimo empujon.,O prazo de promocao esta proximo. Forca final.,O prazo de promocao esta proximo. Forca final.,Batas waktu promosi hampir tiba. Dorongan terakhir.,Batas waktu promosi hampir tiba. Dorongan terakhir.,Срок продвижения приближается. Последний рывок.,Срок продвижения приближается. Последний рывок.,Promotion presque finie. Dernier effort.,Promotion presque finie. Dernier effort.,เดดไลน์เลื่อนขั้นใกล้แล้ว. ลุย.,เดดไลน์เลื่อนขั้นใกล้แล้ว. ลุย.
261003,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""261003""}",24h countdown has started. Climb before it’s over.,24h countdown has started. Climb before it’s over.,بدأ العد التنازلي لـ 24 ساعة. تقدم قبل ان ينتهي.,العد التنازلي لـ24 ساعة بدأ.,Comienza la cuenta regresiva. Sube ahora.,Comienza la cuenta regresiva. Sube ahora.,Contagem de 24h comecou. Suba antes que acabe.,Contagem de 24h comecou. Suba antes que acabe.,Hitungan mundur 24 jam dimulai. Naik sekarang.,Hitungan mundur 24 jam dimulai. Naik sekarang.,Обратный отсчет 24 ч. начался. Успей подняться.,Обратный отсчет 24 ч. начался. Успей подняться.,Le compte a rebours de 24h a commence. Grimpe vite.,Le compte a rebours de 24h a commence. Grimpe vite.,นับถอยหลัง 24 ชม. เริ่มแล้ว. รีบปีนขึ้นไป.,นับถอยหลัง 24 ชม. เริ่มแล้ว. รีบปีนขึ้นไป.
