label,media_url,payload,notification_title_English,notification_body_English,notification_title_Arabic,notification_body_Arabic,notification_title_Spanish,notification_body_Spanish,notification_title_Portuguese,notification_body_Portuguese,notification_title_Indonesian,notification_body_Indonesian,notification_title_Russian,notification_body_Russian,notification_title_French,notification_body_French,notification_title_Thai,notification_body_Thai
20260501,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260501""}",Your puzzle board is waiting. Come match those blocks.,Your puzzle board is waiting. Come match those blocks.,لوحة الألغاز الخاصة بك تنتظر. تعال وطابق تلك القطع.,لوحة الألغاز الخاصة بك تنتظر. تعال وطابق تلك القطع.,Tu tablero de rompecabezas está esperando. Ven a combinar esos bloques.,Tu tablero de rompecabezas está esperando. Ven a combinar esos bloques.,Seu tabuleiro de quebra-cabeça está esperando. Venha combinar esses blocos.,Seu tabuleiro de quebra-cabeça está esperando. Venha combinar esses blocos.,Papan puzzlemu menunggu. Ayo padukan blok-blok itu.,Papan puzzlemu menunggu. Ayo padukan blok-blok itu.,Твоя головоломка ждёт. Приходи и сопоставляй эти блоки.,Твоя головоломка ждёт. Приходи и сопоставляй эти блоки.,Ton tableau de puzzle t'attend. Viens assortir ces blocs.,Ton tableau de puzzle t'attend. Viens assortir ces blocs.,กระดานปริศนาของคุณกำลังรอ มาจับคู่บล็อกเหล่านั้นกันเถอะ,กระดานปริศนาของคุณกำลังรอ มาจับคู่บล็อกเหล่านั้นกันเถอะ
20260503,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260503""}",Ready for today's block challenge? Let's play.,Ready for today's block challenge? Let's play.,مستعد لتحدي القطع اليوم؟ هيا نلعب.,مستعد لتحدي القطع اليوم؟ هيا نلعب.,¿Listo para el desafío de bloques de hoy? Juguemos.,¿Listo para el desafío de bloques de hoy? Juguemos.,Pronto para o desafio de blocos de hoje? Vamos jogar.,Pronto para o desafio de blocos de hoje? Vamos jogar.,Siap untuk tantangan blok hari ini? Ayo main.,Siap untuk tantangan blok hari ini? Ayo main.,Готов к сегодняшнему испытанию блоками? Давай играть.,Готов к сегодняшнему испытанию блоками? Давай играть.,Prêt pour le défi de blocs d'aujourd'hui? Jouons.,Prêt pour le défi de blocs d'aujourd'hui? Jouons.,พร้อมสำหรับความท้าทายบล็อกวันนี้แล้วหรือยัง? มาเล่นกันเถอะ,พร้อมสำหรับความท้าทายบล็อกวันนี้แล้วหรือยัง? มาเล่นกันเถอะ
20260504,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260504""}","Clear lines, score big. Start your daily puzzle now.","Clear lines, score big. Start your daily puzzle now.",امسح الخطوط، احرز نقاطاً كبيرة. ابدأ لغزك اليومي الآن.,امسح الخطوط، احرز نقاطاً كبيرة. ابدأ لغزك اليومي الآن.,"Borra líneas, anota en grande. Comienza tu puzzle diario ahora.","Borra líneas, anota en grande. Comienza tu puzzle diario ahora.","Limpe linhas, pontue alto. Comece seu puzzle diário agora.","Limpe linhas, pontue alto. Comece seu puzzle diário agora.","Hapus garis, skor besar. Mulai puzzle harianmu sekarang.","Hapus garis, skor besar. Mulai puzzle harianmu sekarang.","Очищай линии, зарабатывай много. Начни свою ежедневную головоломку сейчас.","Очищай линии, зарабатывай много. Начни свою ежедневную головоломку сейчас.","Efface des lignes, marque gros. Commence ton puzzle quotidien maintenant.","Efface des lignes, marque gros. Commence ton puzzle quotidien maintenant.",ล้างเส้น ทำคะแนนสูง เริ่มปริศนาประจำวันของคุณเดี๋ยวนี้,ล้างเส้น ทำคะแนนสูง เริ่มปริศนาประจำวันของคุณเดี๋ยวนี้
20260505,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260505""}","New blocks, new challenges. Play Puzzle Block Master today.","New blocks, new challenges. Play Puzzle Block Master today.",قطع جديدة، تحديات جديدة. العب ماستر بلوك بازل اليوم.,قطع جديدة، تحديات جديدة. العب ماستر بلوك بازل اليوم.,"Nuevos bloques, nuevos desafíos. Juega Puzzle Block Master hoy.","Nuevos bloques, nuevos desafíos. Juega Puzzle Block Master hoy.","Novos blocos, novos desafios. Jogue Puzzle Block Master hoje.","Novos blocos, novos desafios. Jogue Puzzle Block Master hoje.","Blok baru, tantangan baru. Main Puzzle Block Master hari ini.","Blok baru, tantangan baru. Main Puzzle Block Master hari ini.","Новые блоки, новые испытания. Играй в Puzzle Block Master сегодня.","Новые блоки, новые испытания. Играй в Puzzle Block Master сегодня.","Nouveaux blocs, nouveaux défis. Joue à Puzzle Block Master aujourd'hui.","Nouveaux blocs, nouveaux défis. Joue à Puzzle Block Master aujourd'hui.",บล็อกใหม่ ความท้าทายใหม่ เล่น Puzzle Block Master วันนี้,บล็อกใหม่ ความท้าทายใหม่ เล่น Puzzle Block Master วันนี้
20260506,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260506""}",Your brain needs a puzzle break. Come play now.,Your brain needs a puzzle break. Come play now.,عقلك يحتاج لاستراحة ألغاز. تعال والعب الآن.,عقلك يحتاج لاستراحة ألغاز. تعال والعب الآن.,Tu cerebro necesita un descanso de puzzles. Ven a jugar ahora.,Tu cerebro necesita un descanso de puzzles. Ven a jugar ahora.,Seu cérebro precisa de uma pausa para puzzles. Venha jogar agora.,Seu cérebro precisa de uma pausa para puzzles. Venha jogar agora.,Otakmu butuh istirahat puzzle. Ayo main sekarang.,Otakmu butuh istirahat puzzle. Ayo main sekarang.,Твоему мозгу нужна головоломка. Заходи играть сейчас.,Твоему мозгу нужна головоломка. Заходи играть сейчас.,Ton cerveau a besoin d'une pause puzzle. Viens jouer maintenant.,Ton cerveau a besoin d'une pause puzzle. Viens jouer maintenant.,สมองของคุณต้องการพักปริศนา มาเล่นเดี๋ยวนี้,สมองของคุณต้องการพักปริศนา มาเล่นเดี๋ยวนี้
20260507,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260507""}","Stack, match, and clear. Today's puzzle awaits.","Stack, match, and clear. Today's puzzle awaits.",كدّس، طابق، وامسح. لغزك اليوم بانتظارك.,كدّس، طابق، وامسح. لغزك اليوم بانتظارك.,"Apila, combina y borra. Tu puzzle de hoy te espera.","Apila, combina y borra. Tu puzzle de hoy te espera.","Empilhe, combine e limpe. Seu puzzle de hoje aguarda.","Empilhe, combine e limpe. Seu puzzle de hoje aguarda.","Tumpuk, padukan, dan hapus. Puzzle hari ini menanti.","Tumpuk, padukan, dan hapus. Puzzle hari ini menanti.","Складывай, сопоставляй и очищай. Твоя головоломка на сегодня ждёт.","Складывай, сопоставляй и очищай. Твоя головоломка на сегодня ждёт.","Empile, assortis et efface. Ton puzzle d'aujourd'hui t'attend.","Empile, assortis et efface. Ton puzzle d'aujourd'hui t'attend.",เรียง จับคู่ และล้าง ปริศนาวันนี้รออยู่,เรียง จับคู่ และล้าง ปริศนาวันนี้รออยู่
20260508,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260508""}",How many lines can you clear today? Find out now.,How many lines can you clear today? Find out now.,كم خطاً يمكنك مسحه اليوم؟ اكتشف الآن.,كم خطاً يمكنك مسحه اليوم؟ اكتشف الآن.,¿Cuántas líneas puedes borrar hoy? Descúbrelo ahora.,¿Cuántas líneas puedes borrar hoy? Descúbrelo ahora.,Quantas linhas você pode limpar hoje? Descubra agora.,Quantas linhas você pode limpar hoje? Descubra agora.,Berapa banyak garis yang bisa kamu hapus hari ini? Cari tahu sekarang.,Berapa banyak garis yang bisa kamu hapus hari ini? Cari tahu sekarang.,Сколько линий ты можешь очистить сегодня? Узнай сейчас.,Сколько линий ты можешь очистить сегодня? Узнай сейчас.,Combien de lignes peux-tu effacer aujourd'hui? Découvre-le maintenant.,Combien de lignes peux-tu effacer aujourd'hui? Découvre-le maintenant.,วันนี้คุณจะล้างได้กี่เส้น? มาดูกันเดี๋ยวนี้,วันนี้คุณจะล้างได้กี่เส้น? มาดูกันเดี๋ยวนี้
20260510,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260510""}",Daily block fun is calling. Come play your favorite puzzle.,Daily block fun is calling. Come play your favorite puzzle.,متعة القطع اليومية تناديك. تعال والعب لغزك المفضل.,متعة القطع اليومية تناديك. تعال والعب لغزك المفضل.,La diversión diaria de bloques te llama. Ven a jugar tu puzzle favorito.,La diversión diaria de bloques te llama. Ven a jugar tu puzzle favorito.,A diversão diária de blocos está chamando. Venha jogar seu puzzle favorito.,A diversão diária de blocos está chamando. Venha jogar seu puzzle favorito.,Keseruan blok harian memanggilmu. Ayo main puzzle favoritmu.,Keseruan blok harian memanggilmu. Ayo main puzzle favoritmu.,Ежедневное веселье с блоками зовёт. Заходи играть в свою любимую головоломку.,Ежедневное веселье с блоками зовёт. Заходи играть в свою любимую головоломку.,Le plaisir quotidien des blocs t'appelle. Viens jouer à ton puzzle préféré.,Le plaisir quotidien des blocs t'appelle. Viens jouer à ton puzzle préféré.,ความสนุกบล็อกประจำวันกำลังเรียกหา มาเล่นปริศนาโปรดของคุณ,ความสนุกบล็อกประจำวันกำลังเรียกหา มาเล่นปริศนาโปรดของคุณ
20260511,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260511""}",Master the board today. Your blocks are ready.,Master the board today. Your blocks are ready.,أتقن اللوحة اليوم. قطعك جاهزة.,أتقن اللوحة اليوم. قطعك جاهزة.,Domina el tablero hoy. Tus bloques están listos.,Domina el tablero hoy. Tus bloques están listos.,Domine o tabuleiro hoje. Seus blocos estão prontos.,Domine o tabuleiro hoje. Seus blocos estão prontos.,Kuasai papan hari ini. Blokmu sudah siap.,Kuasai papan hari ini. Blokmu sudah siap.,Освой доску сегодня. Твои блоки готовы.,Освой доску сегодня. Твои блоки готовы.,Maîtrise le tableau aujourd'hui. Tes blocs sont prêts.,Maîtrise le tableau aujourd'hui. Tes blocs sont prêts.,มาเชี่ยวชาญกระดานวันนี้ บล็อกของคุณพร้อมแล้ว,มาเชี่ยวชาญกระดานวันนี้ บล็อกของคุณพร้อมแล้ว
20260512,https://d26ml67612e64s.cloudfront.net/block_blast/image/TOURNAMENT_END_MSG.jpg,"{""social"":""A2U_BETA"",""type"":""20260512""}",Take a puzzle break and clear the board today.,Take a puzzle break and clear the board today.,خذ استراحة ألغاز وامسح اللوحة اليوم.,خذ استراحة ألغاز وامسح اللوحة اليوم.,Toma un descanso de puzzles y despeja el tablero hoy.,Toma un descanso de puzzles y despeja el tablero hoy.,Faça uma pausa para puzzles e limpe o tabuleiro hoje.,Faça uma pausa para puzzles e limpe o tabuleiro hoje.,Istirahat puzzle dan bersihkan papan hari ini.,Istirahat puzzle dan bersihkan papan hari ini.,Сделай перерыв на головоломку и очисти доску сегодня.,Сделай перерыв на головоломку и очисти доску сегодня.,Prends une pause puzzle et vide le tableau aujourd'hui.,Prends une pause puzzle et vide le tableau aujourd'hui.,พักปริศนาและล้างกระดานวันนี้,พักปริศนาและล้างกระดานวันนี้
