Placement Name,Placement ID
AD_BN,739489598842669_790576993733929
AD_BN_AOS,739489598842669_790577563733872
AD_BN_ETC,739489598842669_790577977067164
AD_BN_IOS,739489598842669_790578297067132
AD_IT,739489598842669_790580707066891
AD_IT_AOS,739489598842669_790581577066804
AD_IT_ETC,739489598842669_790582087066753
AD_IT_IOS,739489598842669_790582633733365
AD_RV,739489598842669_790600923731536
AD_RV_AOS,739489598842669_790601897064772
AD_RV_ETC,739489598842669_790602517064710
AD_RV_IOS,739489598842669_790603080397987
ORGANIC_BN_AOS,739489598842669_790578647067097
ORGANIC_BN_ETC,739489598842669_790579407067021
ORGANIC_BN_IOS,739489598842669_790580020400293
ORGANIC_IT_AOS,739489598842669_790583093733319
ORGANIC_IT_ETC,739489598842669_790583687066593
ORGANIC_IT_IOS,739489598842669_790584427066519
ORGANIC_RV_AOS,739489598842669_790603530397942
ORGANIC_RV_ETC,739489598842669_790604087064553
ORGANIC_RV_IOS,739489598842669_790604770397818
