log_date,country,nth_event,avg_sec,player_count
2026-07-11,AR,1-ALL_LOAD_INTRO_START,2.4,9
2026-07-11,AR,1-INTRO_FB_ENTRY_POINT,2.8,9
2026-07-11,AR,1-1000_LOGIN_COMPLETE,5.6,9
2026-07-11,AR,1-INTRO_OBJECT_POOL_FINISH,5.0,9
2026-07-11,AR,1-ALL_LOAD_INTRO_FINISH,2.7,9
2026-07-11,AR,1-6040_SETTING_LANGUAGE,4.3,9
2026-07-11,AR,1-6000_FRIEND_COUNT,3.2,9
2026-07-11,AR,1-INTRO_FB_ENTRY_DATA_FINISH,4.6,9
2026-07-11,AR,1-1010_LOAD_COMPLETE,8.4,9
2026-07-11,AR,1-INTRO_SIGNED_PLAYER_INFO,2.8,9
2026-07-11,AR,1-6020_USER_CURRENT_LEVEL,6.0,9
2026-07-11,AR,1-INTRO_GAME_DATA,3.0,9
2026-07-11,AR,1-9400_GOLD_TRANSACTION_LOG,5.4,9
2026-07-11,AR,1-INTRO_FB_SUBSCRIBE_BOT_FINISH,3.9,9
2026-07-11,AR,1-INTRO_FB_START_FINISH,0.0,9
2026-07-11,AR,1-INTRO_BUNDLE,2.8,9
2026-07-11,AR,1-ALL_LOAD_INTRO,2.4,9
2026-07-11,AR,1-6012_USER_HAMMER_BALANCE,6.0,9
2026-07-11,AR,1-INTRO_FB_FRIEND_FINISH,3.2,9
2026-07-11,AR,1-INTRO_FB_ENTRY_DATA,3.9,9
2026-07-11,AR,1-INTRO_SIGNED_PLAYER_INFO_FINISH,3.2,9
2026-07-11,AR,1-INTRO_FB_ENTRY_POINT_FINISH,3.9,9
2026-07-11,AR,1-INTRO_FB_FRIEND,2.8,9
2026-07-11,AR,1-INTRO_LOGIN,5.1,9
2026-07-11,AR,1-INTRO_GAME_DATA_FINISH,4.6,9
2026-07-11,AR,1-2100_GAMEPLAY_START,8.4,9
2026-07-11,AR,1-ALL_LOAD_FB,0.7,9
2026-07-11,AR,1-6011_USER_TICKET_BALANCE,6.0,9
2026-07-11,AR,1-9403_BOOSTER_TRANSACTION_LOG,5.6,9
2026-07-11,AR,1-12001_INTRO_DIRECT_ENTRY_START,6.1,9
2026-07-11,AR,1-INTRO_BUNDLE_FINISH,4.3,9
2026-07-11,AR,1-6030_USER_CITY_STATUS,6.0,9
2026-07-11,AR,1-12002_INTRO_DIRECT_ENTRY_END,8.6,9
2026-07-11,AR,1-INTRO_OBJECT_POOL,4.3,9
2026-07-11,AR,1-INTRO_FB_SUBSCRIBE_BOT,2.8,9
2026-07-11,AR,1-6010_USER_GOLD_BALANCE,6.0,9
2026-07-11,AR,1-9402_HAMMER_TRANSACTION_LOG,29.5,8
2026-07-11,AR,1-2210_GAMEPLAY_COMBO_REWARD,28.8,8
