적용,확정,Event,기록시점,Data 요약,Sample Data
,,0xxx 로딩 관련 지표,,,
TRUE,TRUE,ALL_LOAD_FB,FB LOADING / FBInstant SDK 다운로드가 완료된 시점,,
,,1xxx 로그인 관련 지표,,,
FALSE,TRUE,1000_LOGIN_COMPLETE,로그인 완료시,"FB entry, payload data","{""entry"": ""ad"", ""payload"": {""$channel"": ""AD"", ""join_timestamp"": 1656769772.363, ""fb_instant_game_ad_id"": ""23850702072570305""}}"
FALSE,TRUE,1010_LOAD_COMPLETE,INGAME LOADING / 로딩에서 다음 씬으로 랜딩하는 시점,,
FALSE,TRUE,1110_PLAYTIME_10S,로그인 완료후 n초 경과시,,
FALSE,TRUE,1120_PLAYTIME_30S,,,
FALSE,TRUE,1130_PLAYTIME_60S,,,
FALSE,TRUE,1140_PLAYTIME_120S,,,
FALSE,TRUE,1150_PLAYTIME_180S,,,
FALSE,TRUE,1160_PLAYTIME_240S,,,
FALSE,TRUE,1170_PLAYTIME_300S,,,
FALSE,TRUE,1180_PLAYTIME_600S,,,
FALSE,TRUE,1190_PLAYTIME_900S,,,
FALSE,TRUE,1200_PLAYTIME_1200S,,,
FALSE,TRUE,1210_PLAYTIME_1800S,,,
FALSE,TRUE,1220_PLAYTIME_3600S,,,
,,2xxx 게임 플레이 관련 로그,,,
,,2xxx-0 프리레벨 & 진입,,,
FALSE,TRUE,2090_PRE_LEVEL_SHOW,"Pre-Level 팝업 노출 시","진입 위치, 레벨, 보유 골드","{""position"":""lobby"",""level"":""5"",""gold_balance"":""8000""}"
FALSE,TRUE,2091_PRE_LEVEL_BOOSTER_SELECT,"Pre-Level에서 프리부스터 선택 시","부스터 타입, 가격, 보유 수량","{""booster_type"":""fireworks"",""price"":""600"",""owned_count"":""2""}"
FALSE,TRUE,2092_PRE_LEVEL_BOOSTER_DESELECT,"Pre-Level에서 프리부스터 선택 해제 시","부스터 타입","{""booster_type"":""fireworks""}"
FALSE,TRUE,2093_PRE_LEVEL_BETTING,"Pre-Level에서 베팅 배수 변경 시","변경 전 배수, 변경 후 배수, 엔트리 비용","{""from"":""x1"",""to"":""x2"",""entry_cost"":""2000""}"
FALSE,TRUE,2094_PRE_LEVEL_PLAY,"Pre-Level에서 PLAY 버튼 터치 시","진입 위치, 레벨, 베팅 배수, 선택 부스터, 엔트리 비용, 엔트리 타입","{""position"":""lobby"",""level"":""5"",""betting"":""x2"",""boosters"":[""fireworks""],""entry_cost"":""2000"",""entry_type"":""gold""}"
FALSE,TRUE,2095_PRE_LEVEL_GOLD_SHORTAGE,"Pre-Level에서 골드 부족으로 PLAY 실패 시","보유 골드, 필요 골드, 레벨","{""gold_balance"":""500"",""required"":""2000"",""level"":""5""}"
FALSE,TRUE,2096_PRE_LEVEL_CLOSE,"Pre-Level 팝업 닫기 (상점 이동 등) 시","진입 위치, 레벨","{""position"":""lobby"",""level"":""5""}"
FALSE,TRUE,2097_PRE_LEVEL_INVITE,"Pre-Level에서 친구 초대 버튼 터치 시","레벨","{""level"":""5""}"
,,2xxx-00 게임 시작 & NRU,,,
FALSE,TRUE,2100_GAMEPLAY_START,"각 판이 시작될 때","진입 위치, 난이도 티어, 시드ID, 맵ID, 첫세션 여부, 베팅 배수, 엔트리 비용, 엔트리 타입, 선택 부스터","{""position"":""lobby"",""difficulty_tier"":""02"",""seed"":""seedid"",""map_id"":""map_001"",""session_first"":""true"",""betting"":""x1"",""entry_cost"":""1000"",""entry_type"":""gold"",""boosters"":[]}"
FALSE,FALSE,2109_GAMEPLAY_FIRST_TOUCH,NRU진입 후 첫 카드 터치 시,,
FALSE,TRUE,2110_TUTO_INGAME_INTRO,Lv1 카드 매칭 기본 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230001"",""level"":""1""}"
FALSE,TRUE,2111_TUTO_DECK_DRAW,Lv2 덱 뒤집기 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230002"",""level"":""2""}"
FALSE,TRUE,2112_TUTO_LOBBY_PLAY,Lv1 클리어 후 로비 게임시작 버튼 강제 노출 시,"가이드키, 레벨","{""guide_key"":""230003"",""level"":""1""}"
FALSE,TRUE,2113_TUTO_SHOP,Lv3 클리어 후 상점 아이콘 해금 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230004"",""level"":""3""}"
