id,is_a2u_enabled,is_bot_enabled,a2u_alt_title,a2u_alt_body,a2u_alt_image_id,a2u_alt_payload,element_ids,parent_message_id,countries,languages
solitaire-tripeaks:daily:en:t1,TRUE,TRUE,,Come back and play today.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t2,TRUE,TRUE,,Your cards are waiting.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t3,TRUE,TRUE,,Today's map is ready for you.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t4,TRUE,TRUE,,Check your daily streak.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t5,TRUE,TRUE,,We missed you yesterday.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t6,TRUE,TRUE,,Time for some card fun.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t7,TRUE,TRUE,,Your daily rewards await.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t8,TRUE,TRUE,,Let's clear some cards.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t9,TRUE,TRUE,,Today's map is ready.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t10,TRUE,TRUE,,Don't miss today's bonus.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t11,TRUE,TRUE,,Your turn to shine.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t12,TRUE,TRUE,,"New map, new fun.",,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t13,TRUE,TRUE,,Daily challenge unlocked.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t14,TRUE,TRUE,,Come play with us.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t15,TRUE,TRUE,,Today's level awaits you.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t16,TRUE,TRUE,,Card party starts now.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t17,TRUE,TRUE,,Your daily dose of fun.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t18,TRUE,TRUE,,Time to level up.,,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t19,TRUE,TRUE,,"New day, new cards.",,,,,,"[""en""]"
solitaire-tripeaks:daily:en:t20,TRUE,TRUE,,Let's make today epic.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t1,TRUE,TRUE,,A new map is waiting.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t2,TRUE,TRUE,,Fresh cards have been dealt.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t3,TRUE,TRUE,,New map unlocked - play now.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t4,TRUE,TRUE,,Explore the new map today.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t5,TRUE,TRUE,,A new adventure awaits.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t6,TRUE,TRUE,,New map alert.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t7,TRUE,TRUE,,Your next map is ready.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t8,TRUE,TRUE,,Something new to discover.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t9,TRUE,TRUE,,New level just dropped.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t10,TRUE,TRUE,,A new challenge awaits.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t11,TRUE,TRUE,,A brand new map is here.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t12,TRUE,TRUE,,"New cards, new adventure.",,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t13,TRUE,TRUE,,Fresh map just unlocked.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t14,TRUE,TRUE,,Your next journey begins.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t15,TRUE,TRUE,,New map available now.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t16,TRUE,TRUE,,A new map awaits you.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t17,TRUE,TRUE,,Level up with this new map.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t18,TRUE,TRUE,,New destination unlocked.,,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t19,TRUE,TRUE,,"New map, new possibilities.",,,,,,"[""en""]"
solitaire-tripeaks:new-map:en:t20,TRUE,TRUE,,Start your new map now.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t1,TRUE,TRUE,,Your gold is ready. Come collect.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t2,TRUE,TRUE,,Idle gold waiting - hop back in.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t3,TRUE,TRUE,,Your gold stash is full. Grab it.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t4,TRUE,TRUE,,Time to play. Your gold is ready.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t5,TRUE,TRUE,,Come back. Gold is piling up.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t6,TRUE,TRUE,,Your gold is overflowing. Get it now.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t7,TRUE,TRUE,,Gold alert. Come collect your stash.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t8,TRUE,TRUE,,Hop back and collect your gold.,,,,,,"[""en""]"
solitaire-tripeaks:idle-gold:en:t9,TRUE,TRUE,,Your reward is ready. Come back and play.,,,,,,"[""en""]"
