type,file,card_lo,card_hi,depth_lo,depth_hi,dist,overlap_or_dx,delta_y
same_depth,GH_map1/0001_Level_1.json,0,1,0,0,0,12,15
same_depth,GH_map1/0001_Level_1.json,2,3,0,0,0,12,15
same_depth,GH_map1/0001_Level_1.json,4,5,0,0,0,13,15
same_depth,GH_map1/0001_Level_1.json,6,7,0,0,0,13,16
same_depth,GH_map1/0001_Level_1.json,8,9,0,0,0,13,16
same_depth,GH_map1/0001_Level_1.json,10,11,0,0,0,13,15
same_depth,GH_map1/0001_Level_1.json,12,13,0,0,0,12,15
same_depth,GH_map1/0001_Level_1.json,14,15,0,0,0,12,15
same_depth,GH_map1/0002_CZ_shorty.json,0,1,0,0,0,110,50
same_depth,GH_map1/0002_CZ_shorty.json,0,3,0,0,0,45,50
same_depth,GH_map1/0002_CZ_shorty.json,1,2,0,0,0,110,50
same_depth,GH_map1/0002_CZ_shorty.json,1,3,0,0,0,65,100
same_depth,GH_map1/0002_CZ_shorty.json,1,4,0,0,0,65,100
same_depth,GH_map1/0002_CZ_shorty.json,2,4,0,0,0,45,50
same_depth,GH_map1/0002_CZ_shorty.json,3,4,0,0,0,130,0
same_depth,GH_map1/0002_CZ_shorty.json,5,6,0,0,0,65,60
same_depth,GH_map1/0002_CZ_shorty.json,5,7,0,0,0,65,60
same_depth,GH_map1/0002_CZ_shorty.json,6,7,0,0,0,130,0
same_depth,GH_map1/0002_CZ_shorty.json,8,9,0,0,0,110,50
same_depth,GH_map1/0002_CZ_shorty.json,8,11,0,0,0,45,50
same_depth,GH_map1/0002_CZ_shorty.json,9,10,0,0,0,110,50
same_depth,GH_map1/0002_CZ_shorty.json,9,11,0,0,0,65,100
same_depth,GH_map1/0002_CZ_shorty.json,9,12,0,0,0,65,100
same_depth,GH_map1/0002_CZ_shorty.json,10,12,0,0,0,45,50
same_depth,GH_map1/0002_CZ_shorty.json,11,12,0,0,0,130,0
same_depth,GH_map1/0003_Level_3.json,0,1,0,0,0,50,90
same_depth,GH_map1/0003_Level_3.json,0,2,0,0,0,45,90
same_depth,GH_map1/0003_Level_3.json,1,2,0,0,0,95,0
same_depth,GH_map1/0003_Level_3.json,1,3,0,0,0,45,85
