stage_id,tutorial,publish_at,clearCount,deckCount,mapScore,clear_rate_a,clear_rate_b,clear_rate_c,original_json_file_name
CC_0177,,,6,11,560,80,58,45,Easy_obj_2435385454690056842_2435385454690056842.json
CC_0178,,,12,18,720,97,31,14,Easy_obj_2881473461030184559_2881473461030184559.json
CC_0179,,,7,14,655,87,31,11,Easy_obj_3809132208886665343_3809132208886665343.json
CC_0180,,,8,13,680,93,28,10,Easy_obj_4489317380655479886_4489317380655479886.json
CC_0181,,,5,10,860,91,10,2,Easy_obj_4803460625792221679_4803460625792221679.json
CC_0182,,,6,10,780,83,6,5,Easy_obj_5582524774713652387_5582524774713652387.json
CC_0183,,,3,5,560,52,19,15,Easy_obj_5917400523554303550_5917400523554303550.json
CC_0184,,,6,9,730,70,38,24,Easy_obj_6125248256196065824_6125248256196065824.json
CC_0185,,,8,15,540,91,77,60,Easy_obj_7439937634274103084_7439937634274103084.json
CC_0186,,,10,15,780,95,19,11,Hard_obj_-4165917524446492341_-4165917524446492341.json
CC_0187,,,7,9,845,81,7,1,Hard_obj_-4717586371069404904_-4717586371069404904.json
CC_0188,,,13,20,830,0,77,93,Hard_obj_-5175365428736857757_-5175365428736857757.json
CC_0189,,,8,15,865,86,6,21,Hard_obj_1442615540840690690_1442615540840690690.json
CC_0190,,,8,10,900,83,6,7,Hard_obj_3899271523029084104_3899271523029084104.json
CC_0191,,,16,22,850,100,85,81,Hard_obj_5393874784883519988_5393874784883519988.json
CC_0192,,,6,13,865,89,12,15,Hard_obj_6427872015658360888_6427872015658360888.json
CC_0193,,,8,15,820,97,7,14,Normal_obj_-1697080081793459829_-1697080081793459829.json
CC_0194,,,8,11,760,10,26,16,Normal_obj_-2363891663872883741_-2363891663872883741.json
CC_0195,,,5,8,760,73,0,0,Normal_obj_-2709838762995950497_-2709838762995950497.json
CC_0196,,,6,12,830,83,23,17,Normal_obj_-3191431181177358815_-3191431181177358815.json
CC_0197,,,5,10,780,79,12,8,Normal_obj_-6094004898048360566_-6094004898048360566.json
CC_0198,,,6,9,685,74,7,14,Normal_obj_-7517629322815613110_-7517629322815613110.json
CC_0199,,,8,10,850,76,3,4,Normal_obj_1013913111840760766_1013913111840760766.json
CC_0200,,,6,9,790,77,10,5,Normal_obj_2381993396820737367_2381993396820737367.json
CC_0201,,,6,10,760,79,38,31,Normal_obj_2585815236453019605_2585815236453019605.json
CC_0202,,,8,12,875,12,5,5,Normal_obj_3156347889945336561_3156347889945336561.json
CC_0203,,,12,18,685,10,100,100,Normal_obj_3385651925592553098_3385651925592553098.json
CC_0204,,,13,20,755,77,83,99,Normal_obj_4464694600886160020_4464694600886160020.json
CC_0205,,,13,20,795,100,83,96,Normal_obj_5266965173792630696_5266965173792630696.json
CC_0206,,,5,8,855,78,4,5,Normal_obj_5370209783260445704_5370209783260445704.json
CC_0207,,,8,11,700,87,17,16,Normal_obj_5763311200725518812_5763311200725518812.json
CC_0208,,,5,7,540,0,55,56,Normal_obj_5811656403611471358_5811656403611471358.json
CC_0209,,,6,10,830,82,28,21,Normal_obj_6352701654334186823_6352701654334186823.json
CC_0210,,,10,15,750,95,13,4,Normal_obj_6770950828906184028_6770950828906184028.json
CC_0211,,,6,16,790,95,46,80,Normal_obj_7084936358921540177_7084936358921540177.json
CC_0212,,,2,6,715,56,9,18,Normal_obj_7439413060091581926_7439413060091581926.json
CC_0213,,,6,8,515,5,60,63,VeryEasy_obj_-386395634348372423_-386395634348372423.json
CC_0214,,,8,12,625,79,16,13,VeryEasy_obj_-462025289280387100_-462025289280387100.json
CC_0215,,,6,10,580,79,72,55,VeryEasy_obj_-1276326755563476544_-1276326755563476544.json
CC_0216,,,6,10,555,88,48,45,VeryEasy_obj_-2833457327188849690_-2833457327188849690.json
CC_0217,,,4,11,435,58,33,40,VeryEasy_obj_-3051279091057409727_-3051279091057409727.json
CC_0218,,,7,11,620,79,24,24,VeryEasy_obj_-4001980453628435627_-4001980453628435627.json
CC_0219,,,5,6,435,14,8,9,VeryEasy_obj_-5924488609331911666_-5924488609331911666.json
