 ,,,,,
적용,확정,Event,기록시점,Data 요약,Sample Data
,,0xxx 로딩 관련 지표,,,
TRUE,TRUE,ALL_LOAD_FB,FB LOADING / FBInstant SDK 다운로드가 완료된 시점,,
,,1xxx 로그인 관련 지표,,,
FALSE,TRUE,1000_LOGIN_COMPLETE,로그인 완료시,"FB entry , payload data","{""entry"": ""ad"", ""payload"": {""$channel"": ""AD"", ""$adSetName"": ""Miri_ThePuzzle_AND&iOS_WW_Visited-Gaming_AUTO_BAU_CEO-d1-retention_EN_U_18+"", ""join_timestamp"": 1656769772.363, ""$adCampaignName"": ""Miri_ThePuzzle_AND&iOS_WW_UA_BAU_CEO-d1-retention_27052022"", ""$adCreativeName"": ""ThePuzzle_DCO-AND&iOS-US-CEO-d1-retention-Interest-VisitedGaming_Video&Static_EN"", ""fb_instant_game_ad_id"": ""23850702072570305"", ""fb_instant_game_adset_id"": ""23850702072560305"", ""fb_instant_game_campaign_id"": ""23850501218610305""}"
FALSE,TRUE,1010_LOAD_COMPLETE,INGAME LOADING / 로딩에서 다음 씬으로 랜딩하는 시점,,
FALSE,TRUE,1110_PLAYTIME_10S,로그인 완료후 n초 경과시 ,,
FALSE,TRUE,1120_PLAYTIME_30S,,,
FALSE,TRUE,1130_PLAYTIME_60S,,,
FALSE,TRUE,1140_PLAYTIME_120S,,,
FALSE,TRUE,1150_PLAYTIME_180S,,,
FALSE,TRUE,1160_PLAYTIME_240S,,,
FALSE,TRUE,1170_PLAYTIME_300S,,,
FALSE,TRUE,1180_PLAYTIME_600S,,,
FALSE,TRUE,1190_PLAYTIME_900S,,,
FALSE,TRUE,1200_PLAYTIME_1200S,,,
FALSE,TRUE,1210_PLAYTIME_1800S,,,
FALSE,TRUE,1220_PLAYTIME_3600S,,,
,,2xxx 게임 플레이 관련 로그,,,
FALSE,TRUE,2100_GAMEPLAY_START,"각 판이 시작될 때 (일반, 토너먼트, 1vs1 모두 포함)","게임 모드, 진입 위치, 토너먼트 ID, 첫세션 여부, 난이도 티어, 시드ID, 토너먼트 순위","{mode"":""tournament"",""position"":""lobby"",""tournament_id"":""6625697967451126"",""session_first"":""true"",""difficulty_tier"":""00"",""seed"":""seedid"",""tournament_rank"":""99""}"
FALSE,FALSE,2109_GAMEPLAY_FIRST_TOUCH,NRU진입 후 웰컴보너스 Claim 터치 시,,
FALSE,TRUE,2110_GAMEPLAY_TUTO_1_1,1단계 튜토리얼 노출 시,,
FALSE,TRUE,2111_GAMEPLAY_TUTO_1_2,2단계 튜토리얼 노출 시,,
FALSE,TRUE,2112_GAMEPLAY_TUTO_1_3,3단계 튜토리얼 노출 시,,
FALSE,TRUE,2150_GAMEPLAY_NRU_PLACE1,신규 유저가 첫 번째 이동을 완료한 경우,"난이도 티어, 시드ID, 게임 모드, 진입 위치","{""difficulty_tier"":""00"",""seed"":""seedid"",""mode"":""solo"",""position"":""lobby""}"
FALSE,TRUE,2151_GAMEPLAY_NRU_PLACES,신규 유저의 첫번째판 블록 배치 횟수,"난이도 티어, 시드ID, 게임 모드, 진입 위치, 최종 점수, 블록 배치 횟수","{""difficulty_tier"":""00"",""seed"":""seedid"",""mode"":""solo"",""position"":""lobby"",""score"":""100000"", ""move_count"":""1000""}"
FALSE,TRUE,2160_GAMEPLAY_ITEM_UNDO_TRY,Undo 아이템 사용 시도 시 (버튼),"난이도 티어, 시드ID, 타입","{""difficulty_tier"":""00"",""seed"":""seedid"", ""type"":""free""}"
FALSE,TRUE,2161_GAMEPLAY_ITEM_UNDO_SUCCESS,Undo 아이템 사용 성공 시,"난이도 티어, 시드ID, 타입","{""difficulty_tier"":""00"",""seed"":""seedid"", ""type"":""free""}"
FALSE,TRUE,2162_GAMEPLAY_ITEM_UNDO_FAIL,Undo 아이템 사용 실패 시,"난이도 티어, 시드ID, error_code, error_message, 타입","{""difficulty_tier"":""00"",""seed"":""seedid"", ""error_code"":""code"", ""error_message"":""message"", ""type"":""free""}"
FALSE,TRUE,2163_GAMEPLAY_ITEM_UNDO_UNLOCK,Undo 아이템 해금 화면 노출 시,,
FALSE,FALSE,2164_GAMEPLAY_ITEM_UNDO_ALERT_ON,Undo 아이템 알럿 노출 시,,
FALSE,FALSE,2165_GAMEPLAY_ITEM_UNDO_ALERT_TOUCH,Undo 아이템 알럿 노출 중 터치 시,,
