stage_id,tier,fn,field,max_depth,face_down,deck,needed_deck,delta,bottleneck,target_btl,clear_a,clear_b,clear_c
CC_0060,VeryEasy,VeryEasy_obj_-3497900895194738745_-3497900895194738745.json,26,7,26,17,29,12,10.705882352941176,6.333333333333333,,,
CC_0066,VeryEasy,VeryEasy_obj_-5421982700066424561_-5421982700066424561.json,20,6,20,9,19,10,13.333333333333334,6.333333333333333,,,
CC_0071,VeryEasy,VeryEasy_obj_1505846800031349250_1505846800031349250.json,20,5,20,7,16,9,14.285714285714286,6.333333333333333,,,
CC_0218,VeryEasy,VeryEasy_obj_-4001980453628435627_-4001980453628435627.json,20,6,20,11,19,8,10.909090909090908,6.333333333333333,,,
CC_0157,VeryEasy,VeryEasy_obj_5725686889629278630_5725686889629278630.json,18,6,18,10,18,8,10.8,6.333333333333333,,,
CC_0242,VeryEasy,VeryEasy_obj_8554537005776796579_8554537005776796579.json,18,4,18,6,12,6,12.0,6.333333333333333,,,
CC_0156,VeryEasy,VeryEasy_obj_5052111831417966230_5052111831417966230.json,20,5,20,10,16,6,10.0,6.333333333333333,82,49,31
CC_0236,VeryEasy,VeryEasy_obj_3270139514728241660_3270139514728241660.json,20,5,20,10,16,6,10.0,6.333333333333333,,,
CC_0079,VeryEasy,VeryEasy_obj_7501960667401206892_7501960667401206892.json,20,5,20,10,16,6,10.0,6.333333333333333,77,37,24
CC_0142,VeryEasy,VeryEasy_obj_-3228993952559680366_-3228993952559680366.json,20,5,20,10,16,6,10.0,6.333333333333333,,,
CC_0152,VeryEasy,VeryEasy_obj_2214669136406969930_2214669136406969930.json,20,5,20,10,16,6,10.0,6.333333333333333,,,
CC_0143,VeryEasy,VeryEasy_obj_-5160501193721807590_-5160501193721807590.json,20,5,20,10,16,6,10.0,6.333333333333333,96,14,17
CC_0146,VeryEasy,VeryEasy_obj_-6691285707872859643_-6691285707872859643.json,21,4,21,9,14,5,9.333333333333334,6.333333333333333,2,17,19
CC_0223,VeryEasy,VeryEasy_obj_-7303052549906501985_-7303052549906501985.json,20,5,20,11,16,5,9.090909090909092,6.333333333333333,,,
CC_0083,VeryEasy,VeryEasy_obj_8246439891182557695_8246439891182557695.json,20,5,20,11,16,5,9.090909090909092,6.333333333333333,,,
CC_0062,VeryEasy,VeryEasy_obj_-3575373209298258023_-3575373209298258023.json,20,5,20,11,16,5,9.090909090909092,6.333333333333333,,,
CC_0149,VeryEasy,VeryEasy_obj_1059250483029686343_1059250483029686343.json,20,5,20,11,16,5,9.090909090909092,6.333333333333333,77,33,34
CC_0225,VeryEasy,VeryEasy_obj_-7719398892021535332_-7719398892021535332.json,18,5,18,10,15,5,9.0,6.333333333333333,,,
CC_0214,VeryEasy,VeryEasy_obj_-462025289280387100_-462025289280387100.json,21,5,21,12,17,5,8.75,6.333333333333333,,,
CC_0232,VeryEasy,VeryEasy_obj_2533780747040595241_2533780747040595241.json,20,3,20,6,10,4,10.0,6.333333333333333,,,
CC_0154,VeryEasy,VeryEasy_obj_3137257659081237449_3137257659081237449.json,20,4,20,9,13,4,8.88888888888889,6.333333333333333,,,
CC_0144,VeryEasy,VeryEasy_obj_-5948220406407893431_-5948220406407893431.json,20,5,20,12,16,4,8.333333333333334,6.333333333333333,10,61,30
CC_0227,VeryEasy,VeryEasy_obj_-7842558416730208040_-7842558416730208040.json,17,6,17,13,17,4,7.846153846153846,6.333333333333333,,,
CC_0240,VeryEasy,VeryEasy_obj_8227147783332148297_8227147783332148297.json,22,3,22,8,11,3,8.25,6.333333333333333,,,
CC_0073,VeryEasy,VeryEasy_obj_2060970891380495084_2060970891380495084.json,20,4,20,10,13,3,8.0,6.333333333333333,84,33,26
CC_0081,VeryEasy,VeryEasy_obj_7598267606578259593_7598267606578259593.json,16,4,16,8,11,3,8.0,6.333333333333333,,,
CC_0080,VeryEasy,VeryEasy_obj_7529100959373808406_7529100959373808406.json,20,4,20,10,13,3,8.0,6.333333333333333,79,22,17
CC_0069,VeryEasy,VeryEasy_obj_-8696186041147435442_-8696186041147435442.json,20,4,20,10,13,3,8.0,6.333333333333333,80,31,8
CC_0215,VeryEasy,VeryEasy_obj_-1276326755563476544_-1276326755563476544.json,20,4,20,10,13,3,8.0,6.333333333333333,,,
CC_0063,VeryEasy,VeryEasy_obj_-4155513570435425491_-4155513570435425491.json,20,4,20,10,13,3,8.0,6.333333333333333,,,
