stage_id,tier,fn,deck,suggested_deck,suggested_delta,full_delta,needed_deck,confidence,field,max_depth,exposed_init,avg_frontier,btl,exp_ratio,frontier_ratio,clear_a,clear_b,clear_c,clear_count
CC_0019,Easy,Easy_obj_1970069471253374735_1970069471253374735.json,10,17,7,7,17,HIGH,25,5,10,5.48,12.5,0.4,1.1,0,47,39,
CC_0014,Easy,Easy_obj_-6253912204719183690_-6253912204719183690.json,9,17,8,10,19,MEDIUM,20,7,9,4.75,15.56,0.45,0.68,78,10,12,8
CC_0156,VeryEasy,VeryEasy_obj_5052111831417966230_5052111831417966230.json,10,15,5,6,16,MEDIUM,20,5,5,5.2,10.0,0.25,1.04,82,49,31,6
CC_0202,Normal,Normal_obj_3156347889945336561_3156347889945336561.json,12,18,6,6,18,HIGH,31,5,6,3.61,12.92,0.194,0.72,,,,8
CC_0035,Hard,Hard_obj_-8120975917250142898_-8120975917250142898.json,16,20,4,5,21,MEDIUM,28,9,4,2.68,15.75,0.143,0.3,95,6,7,10
CC_0042,Normal,Normal_obj_-5087021377552378296_-5087021377552378296.json,10,20,10,10,20,HIGH,29,6,8,4.97,17.4,0.276,0.83,,,,6
CC_0280,Hard,Hard_obj_5692771625035672355_5692771625035672355.json,11,15,4,4,15,HIGH,31,6,5,3.35,16.91,0.161,0.56,,,,6
CC_0141,VeryEasy,VeryEasy_obj_-2712095962621706499_-2712095962621706499.json,10,13,3,3,13,MEDIUM,19,4,6,3.21,7.6,0.316,0.8,89,30,25,6
CC_0117,Hard,Hard_obj_4711607199540660698_4711607199540660698.json,14,16,2,2,16,HIGH,33,6,6,4.94,14.14,0.182,0.82,73,7,14,7
CC_0071,VeryEasy,VeryEasy_obj_1505846800031349250_1505846800031349250.json,7,16,9,9,16,HIGH,20,5,6,3.65,14.29,0.3,0.73,,,,
CC_0135,Normal,Normal_obj_6590097658921723082_6590097658921723082.json,9,13,4,5,14,MEDIUM,30,4,8,5.23,13.33,0.267,1.31,64,5,7,6
CC_0132,Normal,Normal_obj_4529999507329059760_4529999507329059760.json,12,16,4,5,17,MEDIUM,30,5,8,6.37,12.5,0.267,1.27,,,,6
CC_0277,Hard,Hard_obj_3583963274032080926_3583963274032080926.json,10,14,4,5,15,MEDIUM,31,6,8,6.29,18.6,0.258,1.05,,,,8
CC_0261,Hard,Hard_obj_-6775005880827077657_-6775005880827077657.json,14,17,3,3,17,HIGH,30,7,6,3.6,15.0,0.2,0.51,,,,10
CC_0258,Hard,Hard_obj_-5936488566595491839_-5936488566595491839.json,11,17,6,6,17,HIGH,30,7,5,2.93,19.09,0.167,0.42,,,,7
CC_0245,Hard,Hard_obj_-440283477310521795_-440283477310521795.json,11,13,2,2,13,HIGH,32,5,6,3.88,14.55,0.188,0.78,,,,8
CC_0235,VeryEasy,VeryEasy_obj_3113305285785652104_3113305285785652104.json,13,16,3,3,16,MEDIUM,20,5,9,4.25,7.69,0.45,0.85,,,,8
CC_0183,Easy,Easy_obj_5917400523554303550_5917400523554303550.json,5,7,2,3,8,LOW,20,3,12,6.05,12.0,0.6,2.02,49,11,15,3
CC_0199,Normal,Normal_obj_1013913111840760766_1013913111840760766.json,10,17,7,7,17,HIGH,30,5,6,3.9,15.0,0.2,0.78,,,,8
CC_0129,Normal,Normal_obj_290478911730800373_290478911730800373.json,10,17,7,7,17,HIGH,30,5,6,6.17,15.0,0.2,1.23,1,28,19,6
CC_0214,VeryEasy,VeryEasy_obj_-462025289280387100_-462025289280387100.json,12,17,5,5,17,HIGH,21,5,5,3.0,8.75,0.238,0.6,,,,8
CC_0123,Normal,Normal_obj_-1656778296819317915_-1656778296819317915.json,12,22,10,10,22,HIGH,28,7,5,3.79,16.33,0.179,0.54,,,,8
CC_0016,Easy,Easy_obj_-6845371592253495967_-6845371592253495967.json,14,19,5,5,19,HIGH,23,6,7,4.57,9.86,0.304,0.76,64,9,11,
CC_0193,Normal,Normal_obj_-1697080081793459829_-1697080081793459829.json,15,19,4,4,19,HIGH,28,6,6,3.54,11.2,0.214,0.59,,,,8
CC_0223,VeryEasy,VeryEasy_obj_-7303052549906501985_-7303052549906501985.json,11,16,5,5,16,HIGH,20,5,4,2.65,9.09,0.2,0.53,,,,7
CC_0284,Hard,Hard_obj_7150741962077567140_7150741962077567140.json,10,13,3,3,13,MEDIUM,32,5,10,6.56,16.0,0.312,1.31,,,,8
CC_0154,VeryEasy,VeryEasy_obj_3137257659081237449_3137257659081237449.json,9,12,3,4,13,MEDIUM,20,4,5,4.4,8.89,0.25,1.1,,,,6
CC_0113,Hard,Hard_obj_-1971797449831386605_-1971797449831386605.json,14,19,5,5,19,HIGH,28,8,5,3.61,16.0,0.179,0.45,,,,9
CC_0008,Easy,Easy_obj_-3591596403255544931_-3591596403255544931.json,14,18,4,5,19,MEDIUM,23,6,8,5.39,9.86,0.348,0.9,92,72,53,12
CC_0197,Normal,Normal_obj_-6094004898048360566_-6094004898048360566.json,10,13,3,3,13,MEDIUM,28,4,6,5.14,11.2,0.214,1.29,,,,5
CC_0288,Hard,Hard_obj_7749217512935342267_7749217512935342267.json,13,17,4,4,17,HIGH,30,7,6,5.33,16.15,0.2,0.76,,,,8
CC_0279,Hard,Hard_obj_4967511773866997684_4967511773866997684.json,12,17,5,5,17,HIGH,30,7,6,3.4,17.5,0.2,0.49,,,,9
CC_0108,Easy,Easy_obj_7449358948076161530_7449358948076161530.json,10,16,6,7,17,MEDIUM,21,6,5,3.19,12.6,0.238,0.53,82,46,36,5
CC_0097,Easy,Easy_obj_-7388141165237645368_-7388141165237645368.json,11,13,2,4,15,LOW,28,4,10,5.0,10.18,0.357,1.25,87,39,21,4
CC_0050,Normal,Normal_obj_5840205091478623467_5840205091478623467.json,8,13,5,5,13,HIGH,28,4,6,2.86,14.0,0.214,0.71,,,,5
CC_0236,VeryEasy,VeryEasy_obj_3270139514728241660_3270139514728241660.json,10,16,6,6,16,HIGH,20,5,5,3.5,10.0,0.25,0.7,,,,6
CC_0073,VeryEasy,VeryEasy_obj_2060970891380495084_2060970891380495084.json,10,13,3,3,13,MEDIUM,20,4,6,3.35,8.0,0.3,0.84,84,33,26,6
CC_0133,Normal,Normal_obj_4533743168158959430_4533743168158959430.json,10,16,6,7,17,MEDIUM,29,5,9,5.21,14.5,0.31,1.04,74,11,1,6
CC_0007,Easy,Easy_obj_-3577985653752088467_-3577985653752088467.json,8,17,9,9,17,HIGH,25,5,6,3.96,15.62,0.24,0.79,75,12,6,4
CC_0081,VeryEasy,VeryEasy_obj_7598267606578259593_7598267606578259593.json,8,11,3,3,11,HIGH,16,4,4,2.81,8.0,0.25,0.7,,,,7
CC_0227,VeryEasy,VeryEasy_obj_-7842558416730208040_-7842558416730208040.json,13,17,4,4,17,HIGH,17,6,5,2.18,7.85,0.294,0.36,,,,8
CC_0054,Normal,Normal_obj_8531102714590821791_8531102714590821791.json,10,13,3,4,14,MEDIUM,31,4,8,4.03,12.4,0.258,1.01,78,8,1,5
CC_0080,VeryEasy,VeryEasy_obj_7529100959373808406_7529100959373808406.json,10,13,3,3,13,HIGH,20,4,5,3.15,8.0,0.25,0.79,79,22,17,6
CC_0079,VeryEasy,VeryEasy_obj_7501960667401206892_7501960667401206892.json,10,16,6,6,16,HIGH,20,5,4,2.7,10.0,0.2,0.54,77,37,24,6
CC_0246,Hard,Hard_obj_-476816179683867428_-476816179683867428.json,11,15,4,4,15,HIGH,30,6,5,2.73,16.36,0.167,0.46,,,,7
CC_0292,Hard,Hard_obj_9123945858537713509_9123945858537713509.json,10,13,3,3,13,MEDIUM,32,5,11,6.0,16.0,0.344,1.2,,,,6
CC_0232,VeryEasy,VeryEasy_obj_2533780747040595241_2533780747040595241.json,6,9,3,4,10,MEDIUM,20,3,5,3.65,10.0,0.25,1.22,,,,2
CC_0286,Hard,Hard_obj_7629362497685869891_7629362497685869891.json,10,13,3,3,13,HIGH,31,5,8,4.48,15.5,0.258,0.9,,,,5
CC_0253,Hard,Hard_obj_-4367956446511700689_-4367956446511700689.json,10,22,12,12,22,HIGH,29,9,4,3.9,26.1,0.138,0.43,,,,6
