stage_id,tier,fn,deck,suggested_deck,delta,confidence,field,max_depth,exposed_init,avg_frontier,min_frontier,est_needed,ratio,clear_a,clear_b,clear_c
CC_0004,Easy,Easy_obj_-1810722570242081567_-1810722570242081567.json,12,14,2,HIGH,26,4,5,4.0,1,9.22,1.3,0,37,33
CC_0019,Easy,Easy_obj_1970069471253374735_1970069471253374735.json,10,12,2,HIGH,25,5,10,5.48,1,8.94,1.12,0,47,39
CC_0042,Normal,Normal_obj_-5087021377552378296_-5087021377552378296.json,10,12,2,LOW,29,6,8,4.9655172413793105,1,11.37,0.88,,,
CC_0280,Hard,Hard_obj_5692771625035672355_5692771625035672355.json,11,13,2,LOW,31,6,5,3.3548387096774195,1,12.54,0.88,,,
CC_0071,VeryEasy,VeryEasy_obj_1505846800031349250_1505846800031349250.json,7,9,2,MEDIUM,20,5,6,3.65,1,8.5,0.82,,,
CC_0002,Easy,Easy_obj_-1076113912418926872_-1076113912418926872.json,7,9,2,HIGH,22,2,14,7.181818181818182,1,4.52,1.55,4,22,28
CC_0125,Normal,Normal_obj_-2471577862588440368_-2471577862588440368.json,13,15,2,HIGH,28,4,8,4.535714285714286,1,9.07,1.43,5,37,32
CC_0277,Hard,Hard_obj_3583963274032080926_3583963274032080926.json,10,13,3,MEDIUM,31,6,8,6.290322580645161,1,11.88,0.84,,,
CC_0258,Hard,Hard_obj_-5936488566595491839_-5936488566595491839.json,11,14,3,MEDIUM,30,7,5,2.933333333333333,1,13.28,0.83,,,
CC_0183,Easy,Easy_obj_5917400523554303550_5917400523554303550.json,5,6,1,MEDIUM,20,3,12,6.05,1,5.42,0.92,49,11,15
CC_0199,Normal,Normal_obj_1013913111840760766_1013913111840760766.json,10,12,2,LOW,30,5,6,3.9,1,11.02,0.91,,,
CC_0129,Normal,Normal_obj_290478911730800373_290478911730800373.json,10,12,2,HIGH,30,5,6,6.166666666666667,1,11.02,0.91,1,28,19
CC_0123,Normal,Normal_obj_-1656778296819317915_-1656778296819317915.json,12,13,1,LOW,28,7,5,3.7857142857142856,1,12.75,0.94,,,
CC_0020,Easy,Easy_obj_2641590008734069844_2641590008734069844.json,18,20,2,HIGH,28,2,8,4.285714285714286,1,6.41,2.81,0,93,100
CC_0053,Normal,Normal_obj_7498578966834877293_7498578966834877293.json,12,14,2,HIGH,30,4,6,3.566666666666667,1,9.86,1.22,13,10,9
CC_0284,Hard,Hard_obj_7150741962077567140_7150741962077567140.json,10,11,1,LOW,32,5,10,6.5625,1,10.67,0.94,,,
CC_0279,Hard,Hard_obj_4967511773866997684_4967511773866997684.json,12,14,2,LOW,30,7,6,3.4,1,13.04,0.92,,,
CC_0150,VeryEasy,VeryEasy_obj_1678863765592217721_1678863765592217721.json,10,12,2,HIGH,20,1,8,4.3,1,3.58,2.8,0,43,62
CC_0050,Normal,Normal_obj_5840205091478623467_5840205091478623467.json,8,10,2,LOW,28,4,6,2.857142857142857,1,9.45,0.85,,,
CC_0007,Easy,Easy_obj_-3577985653752088467_-3577985653752088467.json,8,11,3,MEDIUM,25,5,6,3.96,1,9.84,0.81,75,12,6
CC_0246,Hard,Hard_obj_-476816179683867428_-476816179683867428.json,11,13,2,LOW,30,6,5,2.7333333333333334,1,12.3,0.89,,,
CC_0232,VeryEasy,VeryEasy_obj_2533780747040595241_2533780747040595241.json,6,7,1,LOW,20,3,5,3.65,1,6.78,0.89,,,
CC_0286,Hard,Hard_obj_7629362497685869891_7629362497685869891.json,10,11,1,LOW,31,5,8,4.483870967741935,1,10.84,0.92,,,
