stage_id,tier,fn,deck,suggested_deck,delta,confidence,field,max_depth,exposed_init,peaks,avg_frontier,est_needed,ratio,clear_a,clear_b,clear_c,user_feedback,user_override
CC_0004,Easy,Easy_obj_-1810722570242081567_-1810722570242081567.json,12,15,3,HIGH,26,4,5,8,4.0,12.95,0.93,0,37,33,,
CC_0019,Easy,Easy_obj_1970069471253374735_1970069471253374735.json,10,14,4,HIGH,25,5,10,11,5.48,11.5,0.87,0,47,39,,
CC_0014,Easy,Easy_obj_-6253912204719183690_-6253912204719183690.json,9,12,3,LOW,20,7,9,5,4.75,9.85,0.91,78,10,12,,
CC_0202,Normal,Normal_obj_3156347889945336561_3156347889945336561.json,12,18,6,MEDIUM,31,5,6,9,3.6129032258064515,15.5,0.77,,,,,
CC_0042,Normal,Normal_obj_-5087021377552378296_-5087021377552378296.json,10,17,7,HIGH,29,6,8,5,4.9655172413793105,14.3,0.7,,,,,
CC_0280,Hard,Hard_obj_5692771625035672355_5692771625035672355.json,11,19,8,HIGH,31,6,5,8,3.3548387096774195,16.05,0.69,,,,,
CC_0117,Hard,Hard_obj_4711607199540660698_4711607199540660698.json,14,20,6,MEDIUM,33,6,6,9,4.9393939393939394,16.8,0.83,73,7,14,,
CC_0071,VeryEasy,VeryEasy_obj_1505846800031349250_1505846800031349250.json,7,12,5,HIGH,20,5,6,6,3.65,10.0,0.7,,,,hard,
CC_0002,Easy,Easy_obj_-1076113912418926872_-1076113912418926872.json,7,10,3,HIGH,22,2,14,14,7.181818181818182,8.1,0.86,4,22,28,hard,
CC_0283,Hard,Hard_obj_7114691057902189312_7114691057902189312.json,11,19,8,HIGH,31,5,5,6,3.4193548387096775,15.75,0.7,,,,,
CC_0125,Normal,Normal_obj_-2471577862588440368_-2471577862588440368.json,13,16,3,HIGH,28,4,8,10,4.535714285714286,13.2,0.98,5,37,32,,
CC_0135,Normal,Normal_obj_6590097658921723082_6590097658921723082.json,9,17,8,HIGH,30,4,8,8,5.233333333333333,14.2,0.63,64,5,7,,
CC_0200,Normal,Normal_obj_2381993396820737367_2381993396820737367.json,9,17,8,HIGH,30,5,9,9,5.066666666666666,14.25,0.63,,,,,
CC_0198,Normal,Normal_obj_-7517629322815613110_-7517629322815613110.json,9,14,5,HIGH,25,3,5,12,3.72,12.15,0.74,,,,,
CC_0290,Hard,Hard_obj_8345808346071724063_8345808346071724063.json,15,19,4,LOW,31,6,5,5,3.0,16.05,0.93,,,,,
CC_0234,VeryEasy,VeryEasy_obj_2825736920963069881_2825736920963069881.json,7,12,5,HIGH,23,2,8,9,5.608695652173913,10.1,0.69,,,,,
