stage_id,tier,fn,deck,suggested_deck,delta,confidence,field,max_depth,exposed_init,peaks,avg_frontier,est_needed,diff,clear_a,clear_b,clear_c,user_feedback
CC_0004,Easy,Easy_obj_-1810722570242081567_-1810722570242081567.json,12,15,3,HIGH,26,4,5,8,4.0,11.4,0.6,0,37,33,
CC_0019,Easy,Easy_obj_1970069471253374735_1970069471253374735.json,10,15,5,HIGH,25,5,10,11,5.48,10.81,-0.81,0,47,39,hard
CC_0014,Easy,Easy_obj_-6253912204719183690_-6253912204719183690.json,9,11,2,LOW,20,7,9,5,4.75,9.9,-0.9,78,10,12,
CC_0202,Normal,Normal_obj_3156347889945336561_3156347889945336561.json,12,15,3,MEDIUM,31,5,6,9,3.6129032258064515,13.95,-1.95,,,,
CC_0042,Normal,Normal_obj_-5087021377552378296_-5087021377552378296.json,10,15,5,MEDIUM,29,6,8,5,4.9655172413793105,13.01,-3.01,,,,
CC_0280,Hard,Hard_obj_5692771625035672355_5692771625035672355.json,11,16,5,MEDIUM,31,6,5,8,3.3548387096774195,14.46,-3.46,,,,
CC_0117,Hard,Hard_obj_4711607199540660698_4711607199540660698.json,14,16,2,LOW,33,6,6,9,4.9393939393939394,14.62,-0.62,73,7,14,
CC_0071,VeryEasy,VeryEasy_obj_1505846800031349250_1505846800031349250.json,7,12,5,HIGH,20,5,6,6,3.65,9.54,-2.54,,,,hard
CC_0002,Easy,Easy_obj_-1076113912418926872_-1076113912418926872.json,7,12,5,HIGH,22,2,14,14,7.181818181818182,7.73,-0.73,4,22,28,hard
CC_0283,Hard,Hard_obj_7114691057902189312_7114691057902189312.json,11,16,5,MEDIUM,31,5,5,6,3.4193548387096775,14.03,-3.03,,,,
CC_0125,Normal,Normal_obj_-2471577862588440368_-2471577862588440368.json,13,16,3,HIGH,28,4,8,10,4.535714285714286,11.99,1.01,5,37,32,
CC_0135,Normal,Normal_obj_6590097658921723082_6590097658921723082.json,9,14,5,HIGH,30,4,8,8,5.233333333333333,12.51,-3.51,64,5,7,
CC_0200,Normal,Normal_obj_2381993396820737367_2381993396820737367.json,9,14,5,HIGH,30,5,9,9,5.066666666666666,12.97,-3.97,,,,
CC_0198,Normal,Normal_obj_-7517629322815613110_-7517629322815613110.json,9,12,3,MEDIUM,25,3,5,12,3.72,10.71,-1.71,,,,
CC_0234,VeryEasy,VeryEasy_obj_2825736920963069881_2825736920963069881.json,7,12,5,HIGH,23,2,8,9,5.608695652173913,8.76,-1.76,,,,hard
CC_0270,Hard,Hard_obj_1051189589259311343_1051189589259311343.json,12,14,2,LOW,32,4,10,10,6.25,12.9,-0.9,,,,
CC_0268,Hard,Hard_obj_-9070411430884785648_-9070411430884785648.json,10,15,5,HIGH,31,4,7,7,4.064516129032258,13.37,-3.37,,,,
CC_0258,Hard,Hard_obj_-5936488566595491839_-5936488566595491839.json,11,16,5,MEDIUM,30,7,5,10,2.933333333333333,14.63,-3.63,,,,
CC_0245,Hard,Hard_obj_-440283477310521795_-440283477310521795.json,11,16,5,MEDIUM,32,5,6,8,3.875,14.25,-3.25,,,,
CC_0183,Easy,Easy_obj_5917400523554303550_5917400523554303550.json,5,10,5,HIGH,20,3,12,8,6.05,7.78,-2.78,49,11,15,hard
CC_0199,Normal,Normal_obj_1013913111840760766_1013913111840760766.json,10,15,5,HIGH,30,5,6,8,3.9,13.44,-3.44,,,,
CC_0129,Normal,Normal_obj_290478911730800373_290478911730800373.json,10,14,4,HIGH,30,5,6,18,6.166666666666667,12.53,-2.53,1,28,19,
CC_0201,Normal,Normal_obj_2585815236453019605_2585815236453019605.json,10,13,3,MEDIUM,28,3,6,14,4.535714285714286,11.59,-1.59,,,,
CC_0123,Normal,Normal_obj_-1656778296819317915_-1656778296819317915.json,12,15,3,MEDIUM,28,7,5,5,3.7857142857142856,13.49,-1.49,,,,
CC_0016,Easy,Easy_obj_-6845371592253495967_-6845371592253495967.json,14,19,5,HIGH,23,6,7,11,4.565217391304348,10.77,3.23,64,9,11,hard
CC_0020,Easy,Easy_obj_2641590008734069844_2641590008734069844.json,18,21,3,HIGH,28,2,8,14,4.285714285714286,11.29,6.71,0,93,100,
CC_0257,Hard,Hard_obj_-5831820742631492957_-5831820742631492957.json,11,16,5,MEDIUM,34,4,8,12,5.088235294117647,14.16,-3.16,,,,
CC_0053,Normal,Normal_obj_7498578966834877293_7498578966834877293.json,12,17,5,HIGH,30,4,6,4,3.566666666666667,13.17,-1.17,13,10,9,hard
CC_0285,Hard,Hard_obj_7510168185525752238_7510168185525752238.json,10,15,5,HIGH,31,4,6,6,3.032258064516129,13.79,-3.79,,,,
CC_0284,Hard,Hard_obj_7150741962077567140_7150741962077567140.json,10,15,5,MEDIUM,32,5,10,8,6.5625,13.18,-3.18,,,,
CC_0197,Normal,Normal_obj_-6094004898048360566_-6094004898048360566.json,10,13,3,MEDIUM,28,4,6,7,5.142857142857143,11.74,-1.74,,,,
