stage_id,tutorial,publish_at,clearCount,deckCount,totalCardCount,mapScore,clear_rate_a,clear_rate_b,clear_rate_c,original_json_file_name
CC_0087,,,12,14,20,580,,,,Easy_obj_-1212175505283961025_-1212175505283961025.json
CC_0168,,,15,16,23,670,,,,Easy_obj_-3533632972129963899_-3533632972129963899.json
CC_0013,,,6,14,24,705,,,,Easy_obj_-5589298110739892495_-5589298110739892495.json
CC_0101,,,13,14,25,715,,,,Easy_obj_-9198569455254594242_-9198569455254594242.json
CC_0024,,,7,15,27,785,,,,Easy_obj_4100481430150713381_4100481430150713381.json
CC_0030,,,6,14,25,745,,,,Easy_obj_8221025276977201725_8221025276977201725.json
CC_0110,,,10,17,24,630,,,,Easy_obj_8923723070358247254_8923723070358247254.json
CC_0259,,,12,17,32,925,,,,Hard_obj_-6338097126169537202_-6338097126169537202.json
CC_0263,,,13,15,31,905,,,,Hard_obj_-6858756943211057750_-6858756943211057750.json
CC_0267,,,13,15,32,945,,,,Hard_obj_-8581124268425051125_-8581124268425051125.json
CC_0191,,,16,18,30,865,,,,Hard_obj_5393874784883519988_5393874784883519988.json
CC_0119,,,10,12,20,560,,,,Normal_obj_-45362167705950980_-45362167705950980.json
CC_0129,,,9,12,30,865,,,,Normal_obj_290478911730800373_290478911730800373.json
CC_0203,,,8,18,25,655,,,,Normal_obj_3385651925592553098_3385651925592553098.json
CC_0046,,,15,16,28,805,,,,Normal_obj_3867808652033317403_3867808652033317403.json
CC_0204,,,7,15,27,740,,,,Normal_obj_4464694600886160020_4464694600886160020.json
CC_0205,,,8,15,27,800,,,,Normal_obj_5266965173792630696_5266965173792630696.json
CC_0054,,,10,13,31,870,,,,Normal_obj_8531102714590821791_8531102714590821791.json
CC_0136,,,12,15,26,755,,,,Normal_obj_9005262734481547871_9005262734481547871.json
CC_0137,,,10,14,28,825,,,,Normal_obj_9109329256775260811_9109329256775260811.json
CC_0217,,,9,10,15,435,,,,VeryEasy_obj_-3051279091057409727_-3051279091057409727.json
CC_0061,,,6,14,20,505,,,,VeryEasy_obj_-3534925251702251949_-3534925251702251949.json
CC_0064,,,10,16,23,665,,,,VeryEasy_obj_-4759351362199196674_-4759351362199196674.json
CC_0151,,,11,13,19,555,,,,VeryEasy_obj_1989463773178151793_1989463773178151793.json
CC_0074,,,10,13,19,540,,,,VeryEasy_obj_2406463454516795606_2406463454516795606.json
CC_0077,,,7,14,20,550,,,,VeryEasy_obj_5427339981448508288_5427339981448508288.json
CC_0158,,,8,14,20,530,,,,VeryEasy_obj_5796040279894980159_5796040279894980159.json
CC_0239,,,10,14,20,570,,,,VeryEasy_obj_8183832228153130394_8183832228153130394.json
CC_0265,,2026-04-15 21:00:00.000,,16,30,905,,,,Hard_obj_-7527138674885590045_-7527138674885590045.json
CC_0262,,2026-04-15 21:00:00.000,,17,30,880,,,,Hard_obj_-6826458782616517198_-6826458782616517198.json
CC_0199,,2026-04-15 21:00:00.000,,13,31,895,,,,Normal_obj_1013913111840760766_1013913111840760766.json
CC_0200,,2026-04-15 21:00:00.000,,13,30,835,,,,Normal_obj_2381993396820737367_2381993396820737367.json
CC_0135,,2026-03-26 18:00:00.000,,12,30,840,64,5,7,Normal_obj_6590097658921723082_6590097658921723082.json
CC_0121,,2026-03-26 18:00:00.000,,12,27,750,74,7,6,Normal_obj_-949791933841341856_-949791933841341856.json
CC_0212,,2026-04-15 21:00:00.000,,11,27,730,,,,Normal_obj_7439413060091581926_7439413060091581926.json
CC_0050,,2026-03-26 09:00:00.000,,15,28,800,,,,Normal_obj_5840205091478623467_5840205091478623467.json
CC_0171,,,,10,22,605,62,29,26,Easy_obj_-8228455277662928550_-8228455277662928550.json
CC_0183,,2026-03-26 18:00:00.000,,8,20,495,49,11,15,Easy_obj_5917400523554303550_5917400523554303550.json
CC_0002,,2026-03-26 18:00:00.000,,9,22,530,4,22,28,Easy_obj_-1076113912418926872_-1076113912418926872.json
CC_0019,,2026-03-26 18:00:00.000,,12,25,675,0,47,39,Easy_obj_1970069471253374735_1970069471253374735.json
CC_0025,,2026-03-26 18:00:00.000,,11,28,750,70,6,4,Easy_obj_4128039804169441458_4128039804169441458.json
CC_0017,,,,10,25,655,7,0,6,Easy_obj_-9170708446745828065_-9170708446745828065.json
CC_0234,,2026-04-15 21:00:00.000,,12,23,620,,,,VeryEasy_obj_2825736920963069881_2825736920963069881.json
CC_0007,,2026-03-26 18:00:00.000,,14,25,725,75,12,6,Easy_obj_-3577985653752088467_-3577985653752088467.json
CC_0219,,2026-04-15 21:00:00.000,,11,15,425,,,,VeryEasy_obj_-5924488609331911666_-5924488609331911666.json
CC_0164,,2026-03-26 18:00:00.000,,12,19,525,71,12,11,VeryEasy_obj_9170902172408887236_9170902172408887236.json
CC_0242,,2026-04-15 21:00:00.000,,11,18,500,,,,VeryEasy_obj_8554537005776796579_8554537005776796579.json
CC_0232,,2026-04-15 21:00:00.000,,11,20,565,,,,VeryEasy_obj_2533780747040595241_2533780747040595241.json
CC_0071,,2026-03-26 09:00:00.000,,12,20,565,,,,VeryEasy_obj_1505846800031349250_1505846800031349250.json
CC_0146,,2026-03-26 18:00:00.000,,11,22,640,2,17,19,VeryEasy_obj_-6691285707872859643_-6691285707872859643.json
CC_0004,,2026-03-27 03:00:00.000,9,12,26,750,0,37,33,Easy_obj_-1810722570242081567_-1810722570242081567.json
CC_0014,,2026-03-26 18:00:00.000,8,9,20,545,78,10,12,Easy_obj_-6253912204719183690_-6253912204719183690.json
CC_0145,,2026-03-26 18:00:00.000,5,15,20,570,82,62,53,VeryEasy_obj_-6595566161118467126_-6595566161118467126.json
CC_0156,,2026-03-26 18:00:00.000,6,10,20,575,82,49,31,VeryEasy_obj_5052111831417966230_5052111831417966230.json
CC_0202,,2026-04-15 21:00:00.000,8,12,31,895,,,,Normal_obj_3156347889945336561_3156347889945336561.json
CC_0035,,2026-03-27 03:00:00.000,10,16,28,845,95,6,7,Hard_obj_-8120975917250142898_-8120975917250142898.json
CC_0056,,2026-03-26 09:00:00.000,,14,20,575,,,,VeryEasy_obj_-687287670247338197_-687287670247338197.json
CC_0042,,2026-03-26 00:00:00.000,6,10,29,820,,,,Normal_obj_-5087021377552378296_-5087021377552378296.json
CC_0280,,2026-04-15 21:00:00.000,6,11,31,910,,,,Hard_obj_5692771625035672355_5692771625035672355.json
CC_0141,,2026-03-26 18:00:00.000,6,10,19,530,89,30,25,VeryEasy_obj_-2712095962621706499_-2712095962621706499.json
CC_0117,,2026-03-26 09:00:00.000,7,14,33,960,73,7,14,Hard_obj_4711607199540660698_4711607199540660698.json
CC_0283,,2026-04-15 21:00:00.000,6,11,31,905,,,,Hard_obj_7114691057902189312_7114691057902189312.json
CC_0125,,2026-03-27 03:00:00.000,,13,28,780,5,37,32,Normal_obj_-2471577862588440368_-2471577862588440368.json
CC_0100,,2026-03-26 09:00:00.000,8,13,23,665,,,,Easy_obj_-8411191746816047220_-8411191746816047220.json
CC_0163,,2026-03-27 21:00:00.000,9,11,20,550,83,52,56,VeryEasy_obj_8932102700946220609_8932102700946220609.json
CC_0159,,2026-03-26 18:00:00.000,8,14,18,490,36,71,49,VeryEasy_obj_5992097507330351453_5992097507330351453.json
CC_0198,,2026-04-15 21:00:00.000,6,9,25,715,,,,Normal_obj_-7517629322815613110_-7517629322815613110.json
CC_0290,,2026-04-15 21:00:00.000,8,15,31,910,,,,Hard_obj_8345808346071724063_8345808346071724063.json
TUT_0002,2,2026-04-01 12:00:00.000,2,6,10,245,0,100,100,Tutorial_0002_1324641.json
TUT_0006,6,2026-04-01 12:00:00.000,1,3,14,385,0,100,100,Tutorial_0006_1327800.json
CC_0221,,2026-04-15 21:00:00.000,6,13,17,460,,,,VeryEasy_obj_-6707709543867940104_-6707709543867940104.json
CC_0132,,2026-03-26 00:00:00.000,6,12,30,845,,,,Normal_obj_4529999507329059760_4529999507329059760.json
CC_0134,,,,12,26,675,,,,
CC_0278,,2026-04-15 21:00:00.000,10,20,30,870,,,,Hard_obj_4825420391306583281_4825420391306583281.json
CC_0277,,2026-04-15 21:00:00.000,8,10,31,880,,,,Hard_obj_3583963274032080926_3583963274032080926.json
CC_0270,,2026-04-15 21:00:00.000,4,12,32,880,,,,Hard_obj_1051189589259311343_1051189589259311343.json
CC_0015,,2026-03-26 18:00:00.000,8,10,24,650,82,8,11,Easy_obj_-6424753012134154627_-6424753012134154627.json
CC_0120,,2026-03-26 09:00:00.000,6,17,26,760,,,,Normal_obj_-898773055137935167_-898773055137935167.json
CC_0268,,2026-04-15 21:00:00.000,8,10,31,880,,,,Hard_obj_-9070411430884785648_-9070411430884785648.json
CC_0261,,2026-04-15 21:00:00.000,10,14,30,875,,,,Hard_obj_-6775005880827077657_-6775005880827077657.json
CC_0258,,2026-04-15 21:00:00.000,7,11,30,885,,,,Hard_obj_-5936488566595491839_-5936488566595491839.json
CC_0245,,2026-04-15 21:00:00.000,8,11,32,925,,,,Hard_obj_-440283477310521795_-440283477310521795.json
CC_0238,,2026-04-15 21:00:00.000,8,9,20,545,,,,VeryEasy_obj_7389990745453126925_7389990745453126925.json
CC_0235,,2026-04-15 21:00:00.000,8,13,20,535,,,,VeryEasy_obj_3113305285785652104_3113305285785652104.json
CC_0226,,,,,,,,,,
TUT_0022,22,2026-04-01 12:00:00.000,3,6,7,165,0,100,100,
CC_0214,,2026-04-15 21:00:00.000,8,12,21,605,,,,VeryEasy_obj_-462025289280387100_-462025289280387100.json
CC_0213,,2026-04-15 21:00:00.000,6,8,19,460,,,,VeryEasy_obj_-386395634348372423_-386395634348372423.json
CC_0201,,2026-04-15 21:00:00.000,6,10,28,795,,,,Normal_obj_2585815236453019605_2585815236453019605.json
TUT_0001,1,2026-04-01 21:00:00.000,1,2,13,335,100,100,100,Tutorial_0001_1324973.json
CC_0076,,2026-03-26 09:00:00.000,9,14,20,545,,,,VeryEasy_obj_4684433399311870598_4684433399311870598.json
CC_0123,,2026-03-26 00:00:00.000,8,12,28,825,,,,Normal_obj_-1656778296819317915_-1656778296819317915.json
CC_0016,,2026-03-26 18:00:00.000,,14,24,680,64,9,11,Easy_obj_-6845371592253495967_-6845371592253495967.json
TUT_0005,5,2026-04-01 12:00:00.000,1,4,14,395,0,100,100,Tutorial_0005_1324672.json
CC_0020,,2026-03-26 18:00:00.000,6,18,28,770,0,93,100,Easy_obj_2641590008734069844_2641590008734069844.json
CC_0194,,2026-04-15 21:00:00.000,8,11,28,765,,,,Normal_obj_-2363891663872883741_-2363891663872883741.json
CC_0231,,2026-04-15 21:00:00.000,4,10,20,525,,,,VeryEasy_obj_119021328769867874_119021328769867874.json
CC_0193,,2026-04-15 21:00:00.000,8,15,28,810,,,,Normal_obj_-1697080081793459829_-1697080081793459829.json
CC_0257,,2026-04-15 21:00:00.000,8,11,34,960,,,,Hard_obj_-5831820742631492957_-5831820742631492957.json
CC_0053,,2026-03-26 09:00:00.000,,12,30,860,13,10,9,Normal_obj_7498578966834877293_7498578966834877293.json
CC_0223,,2026-04-15 21:00:00.000,7,11,20,585,,,,VeryEasy_obj_-7303052549906501985_-7303052549906501985.json
CC_0285,,2026-04-15 21:00:00.000,8,10,31,890,,,,Hard_obj_7510168185525752238_7510168185525752238.json
CC_0284,,2026-04-15 21:00:00.000,8,10,32,885,,,,Hard_obj_7150741962077567140_7150741962077567140.json
CC_0032,,2026-03-27 12:00:00.000,8,10,23,665,100,32,32,Hard_obj_-1050926213919930615_-1050926213919930615.json
CC_0154,,2026-03-26 09:00:00.000,6,9,20,570,,,,VeryEasy_obj_3137257659081237449_3137257659081237449.json
CC_0113,,2026-03-26 00:00:00.000,9,14,28,830,,,,Hard_obj_-1971797449831386605_-1971797449831386605.json
TUT_0003,3,2026-04-01 12:00:00.000,2,10,10,285,0,100,100,Tutorial_0026_1343958.json
CC_0008,,2026-03-27 12:00:00.000,12,14,23,640,92,72,53,Easy_obj_-3591596403255544931_-3591596403255544931.json
CC_0248,,2026-04-15 21:00:00.000,13,17,29,875,,,,Hard_obj_-2303210174799019365_-2303210174799019365.json
CC_0197,,2026-04-15 21:00:00.000,5,10,28,800,,,,Normal_obj_-6094004898048360566_-6094004898048360566.json
CC_0288,,2026-04-15 21:00:00.000,8,13,30,855,,,,Hard_obj_7749217512935342267_7749217512935342267.json
CC_0282,,2026-04-15 21:00:00.000,10,13,31,885,,,,Hard_obj_6482808623463430949_6482808623463430949.json
CC_0279,,2026-04-15 21:00:00.000,9,12,30,875,,,,Hard_obj_4967511773866997684_4967511773866997684.json
CC_0108,,2026-03-27 03:00:00.000,5,10,21,610,82,46,36,Easy_obj_7449358948076161530_7449358948076161530.json
CC_0186,,2026-03-27 12:00:00.000,10,15,28,790,96,21,18,Hard_obj_-4165917524446492341_-4165917524446492341.json
CC_0097,,2026-03-27 12:00:00.000,4,11,28,760,87,39,21,Easy_obj_-7388141165237645368_-7388141165237645368.json
CC_0036,,2026-03-27 03:00:00.000,15,20,30,865,100,55,82,Hard_obj_2330540525633691184_2330540525633691184.json
CC_0236,,2026-04-15 21:00:00.000,6,10,20,585,,,,VeryEasy_obj_3270139514728241660_3270139514728241660.json
CC_0122,,2026-03-27 12:00:00.000,10,12,30,810,84,36,41,Normal_obj_-1479464610561885932_-1479464610561885932.json
CC_0073,,2026-03-27 12:00:00.000,6,10,20,560,84,33,26,VeryEasy_obj_2060970891380495084_2060970891380495084.json
CC_0133,,2026-03-26 18:00:00.000,6,10,29,805,74,11,1,Normal_obj_4533743168158959430_4533743168158959430.json
CC_0241,,2026-04-15 21:00:00.000,6,10,22,615,,,,VeryEasy_obj_8262653785478420542_8262653785478420542.json
TUT_0004,4,2026-04-01 12:00:00.000,2,5,13,400,0,0,0,Tutorial_0004_1324671.json
CC_0029,,2026-03-26 18:00:00.000,9,11,23,605,78,58,63,Easy_obj_5882459344506049951_5882459344506049951.json
CC_0081,,2026-03-26 09:00:00.000,7,8,16,460,,,,VeryEasy_obj_7598267606578259593_7598267606578259593.json
CC_0068,,2026-03-26 09:00:00.000,7,11,19,515,,,,VeryEasy_obj_-8321652389359356342_-8321652389359356342.json
CC_0178,,2026-03-28 06:00:00.000,12,18,24,700,97,26,12,Easy_obj_2881473461030184559_2881473461030184559.json
CC_0026,,2026-03-27 12:00:00.000,9,16,21,585,96,78,72,Easy_obj_5149501888700634090_5149501888700634090.json
CC_0228,,2026-04-15 21:00:00.000,5,10,20,565,,,,VeryEasy_obj_-8461924792150459756_-8461924792150459756.json
CC_0227,,2026-04-15 21:00:00.000,8,13,17,490,,,,VeryEasy_obj_-7842558416730208040_-7842558416730208040.json
CC_0196,,2026-04-15 21:00:00.000,6,12,30,820,,,,Normal_obj_-3191431181177358815_-3191431181177358815.json
CC_0057,,2026-03-26 09:00:00.000,6,11,18,495,,,,VeryEasy_obj_-1054331589447805906_-1054331589447805906.json
CC_0086,,2026-03-27 12:00:00.000,10,16,24,685,92,34,11,Easy_obj_-925685726601560255_-925685726601560255.json
CC_0126,,2026-03-26 18:00:00.000,15,18,28,790,98,6,10,Normal_obj_-2574313661731995503_-2574313661731995503.json
CC_0047,,2026-03-26 18:00:00.000,6,10,31,850,85,35,17,Normal_obj_4212339151940259261_4212339151940259261.json
CC_0161,,2026-03-27 21:00:00.000,9,14,20,535,89,53,37,VeryEasy_obj_6813087521975951511_6813087521975951511.json
CC_0147,,2026-03-27 12:00:00.000,8,12,19,530,85,41,39,VeryEasy_obj_-7477806865971726837_-7477806865971726837.json
CC_0111,,2026-03-26 09:00:00.000,4,7,20,535,,,,Hard_obj_-1237604880740496036_-1237604880740496036.json
CC_0088,,2026-03-27 12:00:00.000,8,15,20,565,92,72,45,Easy_obj_-1634873584433455408_-1634873584433455408.json
CC_0106,,2026-03-27 12:00:00.000,6,13,23,635,90,48,17,Easy_obj_6749867213937657716_6749867213937657716.json
CC_0005,,2026-03-26 18:00:00.000,4,9,20,540,67,54,55,Easy_obj_-2643330482736493896_-2643330482736493896.json
CC_0080,,2026-03-26 18:00:00.000,6,10,20,570,79,22,17,VeryEasy_obj_7529100959373808406_7529100959373808406.json
CC_0079,,2026-03-26 18:00:00.000,6,10,20,585,77,37,24,VeryEasy_obj_7501960667401206892_7501960667401206892.json
CC_0096,,2026-03-26 18:00:00.000,6,9,25,660,80,46,36,Easy_obj_-6346614513330471020_-6346614513330471020.json
CC_0078,,2026-03-26 09:00:00.000,7,11,20,460,,,,VeryEasy_obj_7254455368999676493_7254455368999676493.json
CC_0246,,2026-04-20 09:00:00.000,7,11,30,880,,,,Hard_obj_-476816179683867428_-476816179683867428.json
CC_0292,,2026-04-16 06:00:00.000,6,10,32,875,,,,Hard_obj_9123945858537713509_9123945858537713509.json
CC_0104,,2026-03-27 12:00:00.000,8,12,27,760,87,35,24,Easy_obj_512099538242078315_512099538242078315.json
CC_0084,,2026-03-26 09:00:00.000,5,10,20,520,,,,VeryEasy_obj_8635759296922758075_8635759296922758075.json
CC_0291,,2026-04-16 06:00:00.000,14,17,30,875,,,,Hard_obj_8414211997008221011_8414211997008221011.json
CC_0286,,2026-04-15 21:00:00.000,5,10,31,875,,,,Hard_obj_7629362497685869891_7629362497685869891.json
CC_0253,,2026-04-15 21:00:00.000,6,10,29,875,,,,Hard_obj_-4367956446511700689_-4367956446511700689.json
CC_0252,,2026-04-15 21:00:00.000,8,10,32,895,,,,Hard_obj_-4085239007266526198_-4085239007266526198.json
CC_0249,,2026-04-15 21:00:00.000,15,20,30,875,,,,Hard_obj_-2397008531233033957_-2397008531233033957.json
